Sample,Sample_name,Type,Location,Depth,Study_day,Sort1,Sort2,Stage,Stage1,Stage,Moisture,pH,EC,DO,CO2,NH4,NO3,TN,TC,CN_ratio,copies/gdw,log copies/gdw,fungal:bacterial ratio,log f:b ratio,Chao1,Shannon,InvSimpson
gr_int_sp1,A0_IN1,grint,grave,interface,0,A,DA,Initial,D_Initial,Initial,0.318925999,7.4,23.22,96.7,3.928728239,15.06037634,13.06967736,0.738,11.412,15.4723,1.78860E+09,9.252512155,5.59690E-02,-1.252052104,5596.333333,6.731612834,265.1202392
gr_15_sp1,A0_CORE1,gr15,grave,core,0,A,DA,Initial,D_Initial,Initial,0.414340102,7.51,18.45,96.7,2.620720119,7.528060914,6.175951777,0.464,6.053,13.0549,5.64963E+09,9.752020144,1.86888E-02,-1.728419567,4506.556818,6.249345992,121.7988082
gr_int_sp2,A0_IN2,grint,grave,interface,0,A,DA,Initial,D_Initial,Initial,0.366893144,7.13,45.54,98,4.913158209,10.63625118,8.507542928,0.748,10.793,14.4246,1.33944E+09,9.126922174,5.53666E-02,-1.256752432,4794.375701,6.782975895,297.0886976
gr_15_sp2,A0_CORE2,gr15,grave,core,0,A,DA,Initial,D_Initial,Initial,0.366706161,7.38,43.46,98,1.951326767,8.397042654,8.508201422,0.294,3.924,13.3537,5.47210E+09,9.738154163,1.59390E-02,-1.797539934,5374.50497,6.304634708,120.3883445
gr_int_sp3,A0_IN3,grint,grave,interface,0,A,DA,Initial,D_Initial,Initial,0.414685315,6.86,152.2,97.1,6.394766351,42.56127925,39.6187338,0.783,11.474,14.6449,1.91953E+09,9.283193927,7.13098E-02,-1.146850699,6124.367378,6.766541014,270.0044649
gr_15_sp3,A0_CORE3,gr15,grave,core,0,A,DA,Initial,D_Initial,Initial,0.436163714,7.17,57.04,97.1,2.762865679,10.90718469,9.658679699,0.4,5.275,13.1795,3.83991E+09,9.58432137,3.96776E-02,-1.40145491,5235.051661,6.165266606,108.6863951
conint_mean,A0_CONINT,conint,control,interface,0,A,con,Initial,Control,Initial,0.655996133,7.32,43.84,97.76666667,8.674386275,19.43921238,8.246894757,0.803333333,12.421,15.46976667,1.84667E+09,9.266390144,5.28611E-02,-1.276863613,4444.733485,6.462025188,149.0341801
con15_mean,A0,con15,control,core,0,A,con,Initial,Control,Initial,0.434770967,7.37,31.30666667,97.76666667,2.899589227,9.028600977,7.264355671,0.373333333,4.997333333,13.44186667,4.45543E+09,9.648889492,1.87608E-02,-1.726748198,4519.47216,6.624857648,208.5162382
gr_int_sp1,B8_IN1,grint,grave,interface,8,B,DB,Bloat,E_Bloat,Bloat,0.448135198,6.97,2495,92.7,52.21004107,3053.055167,3.871348096,0.981,16.394,16.7154,4.13385E+10,10.61635504,1.51812E-02,-1.818693848,2346.504673,4.161962468,14.80193293
gr_15_sp1,B8_CORE1,gr15,grave,core,8,B,DB,Bloat,E_Bloat,Bloat,0.186688312,7.07,134.4,92.7,8.952020735,37.81580087,12.65167965,0.278,3.417,12.2796,2.32101E+09,9.365676189,2.66126E-02,-1.574912821,4933.621762,6.623324263,216.53408
gr_int_sp2,B8_IN2,grint,grave,interface,8,B,DB,Bloat,E_Bloat,Bloat,0.405729514,6.61,4.537,10.75,55.58105805,2601.536753,0.316757717,0.842,14.078,16.7146,5.70322E+10,10.75611988,2.16857E-02,-1.663827185,2517.962457,4.779779145,21.82718842
gr_15_sp2,B8_CORE2,gr15,grave,core,8,B,DB,Bloat,E_Bloat,Bloat,0.284563758,6.24,133.2,10.75,16.50232573,26.95871141,2.58282953,0.417,5.637,13.5071,4.18053E+09,9.621231453,5.86959E-02,-1.231392257,3565.44504,6.068919233,105.4024217
gr_int_sp3,B8_IN3,grint,grave,interface,8,B,DB,Bloat,E_Bloat,Bloat,0.287376382,6.43,407.9,75.7,43.51573266,821.861082,14.75848284,0.808,18.406,22.7937,3.58892E+10,10.55496368,3.26108E-02,-1.486638969,3753.599424,5.486556986,46.25655341
gr_15_sp3,B8_CORE3,gr15,grave,core,8,B,DB,Bloat,E_Bloat,Bloat,0.281362007,6.55,127.4,75.7,22.67785438,28.77084827,6.355555556,0.536,8.513,15.8749,2.75370E+10,10.4399162,1.44251E-02,-1.840880205,4004.281726,6.039737271,96.11946899
conint_mean,B8_CONINT,conint,control,interface,8,B,con,Bloat,Control,Bloat,0.234359626,7.026666667,80.17333333,98.63333333,3.198870245,13.01840779,13.14986437,0.788666667,11.53633333,14.63093333,2.27170E+09,9.356351573,4.56563E-02,-1.340499464,6536.282913,6.834083978,265.3063821
con15_mean,B8,con15,control,core,8,B,con,Bloat,Control,Bloat,0.247570681,7.316666667,81.44666667,98.63333333,2.75501047,8.610900009,6.307869084,0.487666667,6.570666667,13.5219,5.72001E+09,9.757396571,4.05444E-02,-1.392068685,4213.280098,6.242215002,117.7797387
gr_int_sp1,C12_IN1,grint,grave,interface,12,C,DC,Active,F_Active,Active,0.451807229,7.07,4.311,38.8,10.15080003,8432.096386,0.971742972,0.989,27.874,28.1899,7.46592E+07,7.873083398,2.70638E-01,-0.567611387,1314.71875,3.149597723,9.576281315
gr_15_sp1,C12_CORE1,gr15,grave,core,12,C,DC,Active,F_Active,Active,0.333333333,6.5,185.1,38.8,44.47580692,195.3777778,2.737777778,0.436,8.599,19.7237,3.88782E+10,10.58970601,2.11444E-02,-1.674803964,4330.488263,6.060253836,98.45754101
gr_int_sp2,C12_IN2,grint,grave,interface,12,C,DC,Active,F_Active,Active,0.607142857,6.92,4.709,29,53.98820304,6049.714286,0.792857143,1.329,28.492,21.4424,2.12121E+09,9.326583419,8.70300E-02,-1.060330842,2921.624595,4.88786501,28.93609195
gr_15_sp2,C12_CORE2,gr15,grave,core,12,C,DC,Active,F_Active,Active,0.128755365,6.59,620.5,29,36.52367786,279.6002289,4.936423462,0.525,7.272,13.8503,4.54216E+10,10.65726277,2.64648E-02,-1.577330803,4566.817073,6.198638916,131.9527433
gr_int_sp3,C12_IN3,grint,grave,interface,12,C,DC,Active,F_Active,Active,0.297752809,7.03,3.057,48.9,56.37575419,6234.750562,3.085191011,1.007,24.159,23.9853,2.83544E+09,9.452620342,3.43673E-02,-1.463854642,3201.51227,5.103821221,29.07507795
gr_15_sp3,C12_CORE3,gr15,grave,core,12,C,DC,Active,F_Active,Active,0.368131868,5.99,407.7,48.9,42.47563728,597.3446154,1.503120879,0.636,12.195,19.18,3.00416E+10,10.4777237,2.99577E-02,-1.523492065,5317.274747,6.114154847,98.67756036
conint_mean,C12_CONINT,conint,control,interface,12,C,con,Active,Control,Active,0.332468406,7.29,60.33,100.1,3.310424432,13.77957239,14.03934455,0.825666667,11.83633333,14.32823333,2.00149E+10,10.30135435,3.61990E-02,-1.441303114,4640.142212,6.432736657,160.9631871
con15_mean,C12,con15,control,core,12,C,con,Active,Control,Active,0.345032745,7.306666667,47.95666667,100.1,1.9624064,9.993284641,7.771528856,0.551,6.984666667,12.5859,2.16222E+10,10.33489919,4.63951E-03,-2.333527549,3778.562914,6.396025042,145.7974311
gr_int_sp1,D16_IN1,grint,grave,interface,16,D,DD,Advanced1,G_Advanced,Advanced,0.644268775,6.88,4.721,53.2,77.3349346,9287.706983,2.358977602,1.218,31.911,26.1968,1.88563E+10,10.27545725,3.33831E-02,-1.476473594,2971.817891,4.539985752,21.19317328
gr_15_sp1,D16_CORE1,gr15,grave,core,16,D,DD,Advanced1,G_Advanced,Advanced,0.382315522,5.9,706.3,53.2,51.06214053,1035.44648,1.0063257,0.915,16.179,17.6726,3.01379E+10,10.47911232,5.44977E-02,-1.263621525,2495.49569,5.917942743,98.83524313
gr_int_sp2,D16_IN2,grint,grave,interface,16,D,DD,Advanced1,G_Advanced,Advanced,0.540740741,6.61,3.445,38.6,75.52513215,5391.36,0.969639506,1.28,25.641,20.038,2.28393E+09,9.358683225,5.26977E-02,-1.278208437,3513.887324,5.08534762,33.27556863
gr_15_sp2,D16_CORE2,gr15,grave,core,16,D,DD,Advanced1,G_Advanced,Advanced,0.325536062,5.84,699.4,38.6,45.42623421,675.4931774,1.845146199,0.309,3.98,12.8988,3.32753E+09,9.522121724,1.35328E+00,0.131388977,4118.879195,6.143015923,104.8383975
gr_int_sp3,D16_IN3,grint,grave,interface,16,D,DD,Advanced1,G_Advanced,Advanced,0.38981289,6.63,2269,50.2,54.57211147,4454.072349,0.956191268,1.244,23.49,18.8831,4.37985E+09,9.641459429,1.78742E+00,0.252225624,3657.51682,5.32663594,32.54414059
gr_15_sp3,D16_CORE3,gr15,grave,core,16,D,DD,Advanced1,G_Advanced,Advanced,0.357647059,5.88,300.5,50.2,45.94277565,284.5628235,0.495993725,0.602,12.275,20.3782,1.35002E+10,10.13033922,3.11931E-01,-0.505941402,3838.002899,6.030312785,95.09073189
conint_mean,D16_CONINT,conint,control,interface,16,D,con,Advanced1,Control,Advanced,0.323844066,7.26,69.31,98.33333333,3.399160324,11.08766996,12.94089928,0.771333333,11.52733333,14.94183333,2.49414E+09,9.396921689,7.40778E-02,-1.130312067,5188.666099,6.824171858,288.3311082
con15_mean,D16,con15,control,core,16,D,con,Advanced1,Control,Advanced,0.312233664,7.266666667,87.85666667,98.33333333,1.684401739,9.010969545,6.117533221,0.507,6.497,12.75083333,1.34609E+09,9.129075658,5.53899E-02,-1.256569435,4402.459161,6.620115281,198.3469853
gr_int_sp1,E27_IN1,grint,grave,interface,27,E,E,Advanced1,G_Advanced,Advanced2,0.441495778,6.52,3.401,69.6,77.17592195,4635.081624,1.06862887,1.935,38.999,20.1586,9.73331E+08,8.988260642,2.65064E+00,0.423350813,1372.217054,3.586676317,16.2006537
gr_15_sp1,E27_CORE1,gr15,grave,core,27,E,E,Advanced1,G_Advanced,Advanced2,0.401723209,5.88,389.9,69.6,52.11570771,878.6001077,12.90706731,0.846,14.24,16.8244,1.85825E+10,10.26910307,2.39324E-01,-0.621014455,4012.85443,6.15017028,114.2402866
gr_int_sp2,E27_IN2,grint,grave,interface,27,E,E,Advanced1,G_Advanced,Advanced2,0.930167598,5.99,1431,37.4,107.5796447,1441.191806,0.615080074,1.855,29.203,15.7413,4.58925E+10,10.66174209,4.14382E-01,-0.382598861,1312.170732,3.595906748,13.85658125
gr_15_sp2,E27_CORE2,gr15,grave,core,27,E,E,Advanced1,G_Advanced,Advanced2,0.286751361,5.92,467.4,37.4,56.12323766,83.55305505,1.046557774,0.625,10.812,17.3068,1.40186E+10,10.14670519,7.89371E-01,-0.102718689,3748.002597,5.982091264,96.50968604
gr_int_sp3,E27_IN3,grint,grave,interface,27,E,E,Advanced1,G_Advanced,Advanced2,0.669396873,6.21,684,62.9,76.25001463,1054.168479,1.914241747,1.073,16.195,15.0917,7.26105E+10,10.8609997,1.37938E-01,-0.860316098,3116.394231,5.635787347,91.85787132
gr_15_sp3,E27_CORE3,gr15,grave,core,27,E,E,Advanced1,G_Advanced,Advanced2,0.288530466,5.62,384.2,62.9,52.21708177,141.9101553,1.072057348,0.609,9.884,16.2374,2.51310E+10,10.40020928,5.32556E-01,-0.273634316,4848.0587,6.051995847,103.4803997
conint_mean,E27_CONINT,conint,control,interface,27,E,con,Advanced1,Control,Advanced2,0.683365533,6.993333333,53.23666667,98.06666667,7.921953612,15.95071457,6.950333145,0.831333333,12.685,15.15493333,1.55833E+10,10.19265927,2.88392E-02,-1.540016107,3983.450262,6.262094871,123.6264939
con15_mean,E27,con15,control,core,27,E,con,Advanced1,Control,Advanced2,0.347963107,7.13,42.38666667,98.06666667,2.227421887,9.787333127,6.20965378,0.485666667,6.637,13.56523333,1.80652E+09,9.256841593,4.91350E-02,-1.308609062,4909.421053,6.752026271,223.4023154
gr_int_sp1,F43_IN1,grint,grave,interface,43,F,F,Advanced2,G_Advanced,Advanced3,0.300291545,6.47,3.355,64.5,65.92263276,4953.590671,1.20320311,1.9,23.798,12.5256,3.61020E+10,10.55753174,1.27705E-01,-0.893792886,2313.716895,4.461076572,18.66168012
gr_15_sp1,F43_CORE1,gr15,grave,core,43,F,F,Advanced2,G_Advanced,Advanced3,0.280607248,5.68,696.2,64.5,47.5911628,577.4684949,9.490153444,0.406,7.924,19.5099,1.70711E+10,10.23226067,2.20763E-01,-0.656074513,2378.478814,4.546860016,19.51515491
gr_int_sp2,F43_IN2,grint,grave,interface,43,F,F,Advanced2,G_Advanced,Advanced3,0.210611803,5.65,968.8,75,60.88390595,1045.968598,0.411608013,1.359,19.228,14.1447,5.66601E+09,9.753277224,7.90769E+00,0.898049383,1833.75,4.104272218,19.90610956
gr_15_sp2,F43_CORE2,gr15,grave,core,43,F,F,Advanced2,G_Advanced,Advanced3,0.242331288,5.98,465.5,75,39.13200769,109.6564417,9.312515337,0.432,6.533,15.1235,2.62309E+10,10.41881273,7.65603E-01,-0.115996526,3268.297214,4.958952426,39.67005913
gr_int_sp3,F43_IN3,grint,grave,interface,43,F,F,Advanced2,G_Advanced,Advanced3,0.515252357,6.02,1036,80.25,69.74934741,2325.811351,0.682873729,1.307,30.04,22.9862,3.03577E+10,10.48226822,9.04591E-01,-0.043547662,1726.478528,4.887749234,37.78586444
gr_15_sp3,F43_CORE3,gr15,grave,core,43,F,F,Advanced2,G_Advanced,Advanced3,0.344211823,5.52,437.5,80.25,48.6749513,257.0133005,1.828128079,0.536,10.19,18.9962,2.81259E+10,10.44910594,3.09953E-01,-0.508704253,4343.247191,5.334764726,30.22074676
conint_mean,F43_CONINT,conint,control,interface,43,F,con,Advanced2,Control,Advanced3,0.223929144,7.023333333,98.67666667,99.06666667,1.63922552,27.39708509,9.734563673,0.892666667,13.11933333,14.68863333,1.82309E+10,10.2608076,1.14099E-01,-0.942717041,4762.678862,6.554320626,184.6771756
con15_mean,F43,con15,control,core,43,F,con,Advanced2,Control,Advanced3,0.269576426,7.133333333,66.82,99.06666667,1.921501233,10.3450656,6.6711092,0.494,7.006,14.26033333,2.39809E+10,10.37986538,3.27554E-02,-1.484717365,4519.379085,6.221104917,114.7996937
gr_int_sp1,G58_IN1,grint,grave,interface,58,G,G,Advanced3,G_Advanced,Advanced4,1.023705004,7.53,1577,63,81.06737834,3208.516828,0.903921569,1.492,22.264,14.9199,1.59651E+10,10.20317227,3.09114E-01,-0.509881137,1791,5.292906151,71.49936927
gr_15_sp1,G58_CORE1,gr15,grave,core,58,G,G,Advanced3,G_Advanced,Advanced4,0.410118407,6.25,602.3,63,57.01717209,710.8876929,6.610635091,0.684,9.657,14.1131,1.93720E+10,10.28717425,1.45343E-01,-0.83760465,3471.055215,5.98051664,104.305046
gr_int_sp2,G58_IN2,grint,grave,interface,58,G,G,Advanced3,G_Advanced,Advanced4,0.757287329,6.08,427.3,71.6,75.49301592,500.0068213,0.145269086,1.13,17.878,15.8176,7.40609E+10,10.86958896,2.59298E-01,-0.586201063,1440.043478,4.143475884,19.17410137
gr_15_sp2,G58_CORE2,gr15,grave,core,58,G,G,Advanced3,G_Advanced,Advanced4,0.457720588,6.41,331.3,71.6,63.69165452,86.97732843,0.431485294,0.906,11.428,12.613,3.50837E+09,9.545105675,1.13669E+00,0.055641072,2705.247191,5.207602463,58.57292921
gr_int_sp3,G58_IN3,grint,grave,interface,58,G,G,Advanced3,G_Advanced,Advanced4,0.680420105,6.47,476.3,87,74.87696218,767.615904,4.808242061,1.334,17.892,13.4156,8.14916E+09,9.911112761,1.73884E+00,0.240260171,1575.106383,4.002280785,17.88776869
gr_15_sp3,G58_CORE3,gr15,grave,core,58,G,G,Advanced3,G_Advanced,Advanced4,0.418149466,6.43,258.7,87,45.46055752,50.67520759,3.539701068,0.555,8.193,14.7529,1.22134E+09,9.086837676,4.09619E-01,-0.38762012,3349.419948,6.425915984,188.0204893
conint_mean,G58_CONINT,conint,control,interface,58,G,con,Advanced3,Control,Advanced4,0.620348209,7.33,52.09333333,96.83333333,7.29917816,12.18967117,9.209643737,0.874333333,13.06166667,14.9076,2.59948E+09,9.414887133,3.01172E-02,-1.521185484,3904.681265,6.532713589,188.9171673
con15_mean,G58,con15,control,core,58,G,con,Advanced3,Control,Advanced4,0.396896829,7.313333333,38.83666667,96.83333333,2.431128742,3.823500032,8.283661687,0.46,5.839333333,12.61153333,2.69947E+09,9.431279047,1.78383E-02,-1.748647306,5809.162679,6.607744573,180.9747397
gr_int_sp1,H72_IN1,grint,grave,interface,72,H,H,Advanced4,G_Advanced,Advanced5,0.604120677,6.36,924.2,50.7,80.84668188,2514.191808,2.647868531,1.234,17.376,14.0811,2.33020E+10,10.36739334,3.73963E-01,-0.427171827,1522.894737,4.425569623,15.45548989
gr_15_sp1,H72_CORE1,gr15,grave,core,72,H,H,Advanced4,G_Advanced,Advanced5,0.445508982,6.39,1044,50.7,37.99830742,884.9405988,9.742730539,0.541,7.814,14.4426,3.05689E+11,11.48528029,4.82900E-02,-1.316142666,1812.987097,4.356191793,34.12427443
gr_int_sp2,H72_IN2,grint,grave,interface,72,H,H,Advanced4,G_Advanced,Advanced5,0.56294964,7.69,914.9,84.4,66.85186993,1527.731175,10.43216787,1.136,13.776,12.1313,3.13611E+10,10.49639087,1.33110E-01,-0.875789651,1483.556604,5.104194599,63.46894659
gr_15_sp2,H72_CORE2,gr15,grave,core,72,H,H,Advanced4,G_Advanced,Advanced5,0.333127699,7.26,393.7,84.4,10.08277531,269.3806704,10.08200041,0.313,3.818,12.2141,2.41554E+10,10.38301379,2.78548E-01,-0.555100036,2886.6875,6.093158767,156.3864694
gr_int_sp3,H72_IN3,grint,grave,interface,72,H,H,Advanced4,G_Advanced,Advanced5,0.399428027,6.98,638.8,75,68.71810818,995.2732126,25.67483953,0.903,12.271,13.5945,5.30958E+10,10.72506041,4.54620E-01,-0.342351844,2479.439024,5.653770185,103.8633848
gr_15_sp3,H72_CORE3,gr15,grave,core,72,H,H,Advanced4,G_Advanced,Advanced5,0.416986301,6.06,234.2,75,38.94999979,89.45906849,2.662044932,0.449,6.957,15.5051,2.48396E+09,9.395144214,8.30454E-01,-0.080684569,2528.088608,5.316082339,74.09556186
conint_mean,H72_CONINT,conint,control,interface,72,H,con,Advanced4,Control,Advanced5,0.298052459,7.293333333,61.84,96.83333333,1.983243401,8.382565991,9.64422434,0.828666667,11.90266667,14.36833333,2.18581E+10,10.33961174,7.08140E-02,-1.149880594,3523.361878,6.376029942,150.1691147
con15_mean,H72,con15,control,core,72,H,con,Advanced4,Control,Advanced5,0.312211313,7.363333333,53.83333333,96.83333333,1.633706446,5.690740013,4.117560955,0.417,5.494,13.1135,1.06549E+10,10.02755071,4.08146E-02,-1.389184432,3589.747283,6.251335845,133.4989719
gr_int_sp1,J86_IN1,grint,grave,interface,86,J,J,Advanced5_transition,G_Advanced,Advanced6,1.013986014,6.54,1202,72,102.6277082,4313.152448,0.835132867,1.627,27.451,16.8683,5.46314E+10,10.73744227,1.89896E-01,-0.72148305,1508.852071,4.618355345,17.20775821
gr_15_sp1,J86_CORE1,gr15,grave,core,86,J,J,Advanced5_transition,G_Advanced,Advanced6,0.433776465,6.21,498.3,72,52.61327186,618.2444116,26.77147415,0.445,5.904,13.2707,4.42714E+08,8.646122863,6.60547E-01,-0.180096099,2941.62931,4.730905407,13.14647181
gr_int_sp2,J86_IN2,grint,grave,interface,86,J,J,Advanced5_transition,G_Advanced,Advanced6,0.623160589,6.95,409,88.2,55.71551591,440.6339945,52.09696225,0.863,12.634,14.6388,6.74987E+09,9.829295723,3.39646E-01,-0.468973173,1639.641892,5.526975197,108.1844298
gr_15_sp2,J86_CORE2,gr15,grave,core,86,J,J,Advanced5_transition,G_Advanced,Advanced6,0.436835106,6.7,203.9,88.2,8.740563431,102.3026596,36.27721277,0.446,5.803,13.0186,3.12649E+09,9.495056743,1.29466E-01,-0.887845621,3797.512195,6.025469508,91.37157877
gr_int_sp3,J86_IN3,grint,grave,interface,86,J,J,Advanced5_transition,G_Advanced,Advanced6,0.887931034,6.77,551,94.3,87.81927283,931.8827586,69.91889655,1.479,22.446,15.1791,1.85476E+09,9.268288536,1.66431E+00,0.221234029,4258.509978,6.150547906,188.6248251
gr_15_sp3,J86_CORE3,gr15,grave,core,86,J,J,Advanced5_transition,G_Advanced,Advanced6,0.434302909,6.49,240.3,94.3,24.93964394,191.7184888,3.516910732,0.41,5.48,13.3714,1.08805E+08,8.036648872,2.83295E+00,0.452238352,3091.131868,6.179416573,172.7959337
conint_mean,J86_CONINT,conint,control,interface,86,J,con,Advanced5_transition,Control,Advanced6,0.461795251,7.26,50.54666667,97.76666667,4.519357113,11.61239216,13.67462518,0.808,11.66733333,14.439,2.65217E+10,10.42360106,4.30966E-02,-1.365556793,4465.160494,6.294085535,124.6111623
con15_mean,J86,con15,control,core,86,J,con,Advanced5_transition,Control,Advanced6,0.367500005,7.17,40.36666667,97.76666667,1.752686632,6.810963137,7.888749947,0.481666667,6.190333333,12.85553333,1.64184E+10,10.21533143,3.90253E-02,-1.408653585,4924.6375,6.112459242,93.70849171
gr_int_sp1,K103_IN1,grint,grave,interface,103,K,K,Advanced1,G_Advanced,Advanced7,0.74201278,6.86,1017,71.5,88.58690353,798.7709265,150.5099042,1.294,17.65,13.6375,4.86029E+10,10.68666207,2.52189E-01,-0.598273353,2490.724891,5.65686249,94.67095348
gr_15_sp1,K103_CORE1,gr15,grave,core,103,K,K,Advanced1,G_Advanced,Advanced7,0.377077364,5.76,581,71.5,32.51203461,281.3277249,78.36488252,0.625,10.874,17.3976,1.08948E+10,10.03721933,1.91799E-01,-0.717153503,3277.218487,6.26762869,177.7968251
gr_int_sp2,K103_IN2,grint,grave,interface,103,K,K,Advanced1,G_Advanced,Advanced7,0.660447761,6.22,435.8,92.6,22.03178884,229.141791,163.1223881,1.026,12.067,11.7643,5.70663E+09,9.756380093,4.00092E-01,-0.397840454,2622.03937,5.959691878,143.1910153
gr_15_sp2,K103_CORE2,gr15,grave,core,103,K,K,Advanced1,G_Advanced,Advanced7,0.372093023,6.43,253.5,92.6,3.67986418,19.06294574,51.26139535,0.379,4.745,12.5342,2.22859E+09,9.348030486,1.62515E-01,-0.789105712,5037.312937,6.30297241,163.0203076
gr_int_sp3,K103_IN3,grint,grave,interface,103,K,K,Advanced1,G_Advanced,Advanced7,1.061139028,6.79,266,87.9,62.76729361,384.1963149,23.61790508,1.333,18.002,13.5079,9.64586E+09,9.984341166,1.18983E+00,0.075485803,2373.657143,5.290474902,59.93906467
gr_15_sp3,K103_CORE3,gr15,grave,core,103,K,K,Advanced1,G_Advanced,Advanced7,0.493099122,5.78,343.6,87.9,41.38460666,121.5979925,3.410238394,0.628,10.333,16.4467,1.08453E+09,9.035242113,2.18274E+00,0.339002401,3884.958937,5.980271343,126.8908532
conint_mean,K103_CONINT,conint,control,interface,103,K,con,Advanced1,Control,Advanced7,0.465710931,6.95,49.69333333,97.2,3.441055522,10.7432175,9.7583618,0.795,11.76933333,14.75393333,1.41877E+09,9.151912126,1.28036E-01,-0.892667235,4346.632385,6.657573554,215.2186756
con15_mean,K103,con15,control,core,103,K,con,Advanced1,Control,Advanced7,0.36748779,7.293333333,56.66333333,97.2,2.049199366,6.703964305,5.886210875,0.430666667,5.602,13.00283333,2.94888E+09,9.469656499,3.19835E-02,-1.495073644,4908.469582,6.792688751,255.6745309
gr_int_sp1,L117_IN1,grint,grave,interface,117,L,L,Advanced1,G_Advanced,Advanced8,0.561230093,7.1,472.3,86.5,53.18973035,1046.440491,89.88522057,1.146,13.949,12.1743,3.55530E+09,9.550876838,2.63656E-01,-0.578961668,1789.360406,5.460812002,97.58861446
gr_15_sp1,L117_CORE1,gr15,grave,core,117,L,L,Advanced1,G_Advanced,Advanced8,0.385135135,5.57,678.1,86.5,31.7175822,420.1576577,126.4351351,0.552,9.186,16.6532,2.70087E+09,9.431503406,3.21107E-01,-0.493349905,3786.286885,6.186453196,151.6616622
gr_int_sp2,L117_IN2,grint,grave,interface,117,L,L,Advanced1,G_Advanced,Advanced8,0.474824356,5.83,721.2,97.1,15.85939495,89.4726776,367.0346214,1.075,12.634,11.7545,5.99173E+09,9.777552137,1.87656E+00,0.273362207,2064.61215,5.286899364,73.7412461
