Sample,Sample_name,Type,Location,Depth,Study_day,Sort1,Sort2,Stage,Stage1,Stage,Moisture,pH,EC,DO,CO2,NH4,NO3,TN,TC,CN_ratio,copies/gdw,log copies/gdw,fungal:bacterial ratio,log f:b ratio,Chao1,Shannon,InvSimpson,
gr_15_sp2,M117_CORE2,gr15,grave,core,117,M,M,Advanced1,G_Advanced,Advanced8,0.318404908,6.49,247,97.1,3.581525298,33.75116564,77.06516155,0.476,6.288,13.2205,3.07110E+09,9.487294058,3.28151E-01,-0.483926231,1340.4,3.835637255,11.91889961,
gr_int_sp3,M117_IN3,grint,grave,interface,117,M,M,Advanced1,G_Advanced,Advanced8,0.587589237,6.51,272,94.7,37.29824855,157.2771737,101.2246897,1.061,14.354,13.5236,1.58861E+09,9.201016053,7.30248E-01,-0.13652959,631.8730159,4.010004399,30.77044781,
gr_15_sp3,M117_CORE3,gr15,grave,core,117,M,M,Advanced1,G_Advanced,Advanced8,0.502360081,6.05,262.7,94.7,47.32323196,141.7426658,14.37057496,0.716,11.733,16.3767,5.16206E+09,9.712823138,9.76440E-01,-0.010354651,725.04,2.812714537,6.909404842,
conint_mean,M117_CONINT,conint,control,interface,117,M,con,Advanced1,Control,Advanced8,0.312502407,7.023333333,34.96666667,98.63333333,1.960390344,12.62819769,11.71686261,0.750666667,10.43533333,13.88483333,1.26134E+08,8.100833594,1.10565E-01,-0.956382287,1616.662983,4.924179789,36.66312525,
con15_mean,M117,con15,control,core,117,M,con,Advanced1,Control,Advanced8,0.30758279,7.213333333,55.45666667,98.63333333,1.916169065,7.439136686,10.78529924,0.447333333,6.148,13.67513333,2.73014E+08,8.436184574,8.80987E-02,-1.05503026,2205.11245,5.055602782,49.96705375,
gr_int_sp1,N132_IN1,grint,grave,interface,132,N,N,Advanced1,G_Advanced,Advanced9,0.430951102,6.46,886.1,90.7,70.71132337,788.5494537,268.3510299,1.079,12.17,11.278,2.15435E+08,8.33331595,6.46872E-01,-0.189181804,233.7142857,3.247249391,12.8140425,
gr_15_sp1,N132_CORE1,gr15,grave,core,132,N,N,Advanced1,G_Advanced,Advanced9,0.431113662,5.79,648,90.7,37.17364207,230.3520551,131.0518485,0.82,10.778,13.1375,5.16806E+09,9.713327683,9.57619E-01,-0.018807091,411.0222222,2.560587696,7.813553546,
gr_int_sp2,N132_IN2,grint,grave,interface,132,N,N,Advanced1,G_Advanced,Advanced9,0.274409044,5.84,317,98.9,5.606624788,115.7163412,204.4152107,0.977,11.634,11.9109,7.15698E+08,8.854729796,2.08179E-01,-0.681562388,695.8813559,3.821757007,18.72807174,
gr_15_sp2,N132_CORE2,gr15,grave,core,132,N,N,Advanced1,G_Advanced,Advanced9,0.234229829,6.27,228.9,98.9,2.633014681,14.90949633,39.59409291,0.463,6.125,13.2338,4.28404E+09,9.631853121,6.08340E-01,-0.215853921,736.8153846,3.654765985,13.40190384,
gr_int_sp3,N132_IN3,grint,grave,interface,132,N,N,Advanced1,G_Advanced,Advanced9,0.278996865,5.95,454.4,98.4,11.3580622,196.4539185,137.8758621,1.056,13.391,12.6853,9.92686E+08,8.996812009,4.55298E-01,-0.341704168,924.032967,4.336545992,31.82813894,
gr_15_sp3,N132_CORE3,gr15,grave,core,132,N,N,Advanced1,G_Advanced,Advanced9,0.402111324,6.04,243.9,98.4,33.02288044,77.17220729,7.655527831,0.375,5.336,14.2163,3.60341E+09,9.556713666,8.22842E-01,-0.084683567,873.5,4.044433857,25.3532931,
conint_mean,N132_CONINT,conint,control,interface,132,N,con,Advanced1,Control,Advanced9,0.268842377,6.883333333,78.42333333,98.96666667,1.824770179,5.631291342,13.53222796,0.742333333,10.56233333,14.13546667,1.71128E+08,8.23332195,1.13261E-01,-0.945918229,1663.315789,5.600293262,84.23144332,
con15_mean,N132,con15,control,core,132,N,con,Advanced1,Control,Advanced9,0.225498667,6.903333333,51.19333333,98.96666667,1.209401423,2.56627256,3.608726813,0.493,6.521,13.19953333,5.97003E+08,8.775976437,1.00730E-01,-0.996840137,1827.132353,4.931920115,43.43427967,
gr_int_sp1,P150_IN1,grint,grave,interface,150,P,P,Advanced1,G_Advanced,Advanced10,0.75536193,6.65,259.3,85.4,32.14449816,355.2852547,78.21892761,1.319,15.12,11.4595,9.23455E+09,9.965415808,1.85941E+00,0.269374574,785.0491803,3.309981701,10.85979631,
gr_15_sp1,P150_CORE1,gr15,grave,core,150,P,P,Advanced1,G_Advanced,Advanced10,0.412132884,6.38,397.9,85.4,28.81617783,302.1587803,55.56272187,0.648,8.37,12.913,2.48398E+08,8.395147541,1.83817E+01,1.264385461,565.9016393,3.189514433,10.70167687,
gr_int_sp2,P150_IN2,grint,grave,interface,150,P,P,Advanced1,G_Advanced,Advanced10,0.461584276,5.89,740.5,96.5,14.463176,212.2220369,168.3745086,0.909,11.266,12.3895,6.74203E+08,8.828790864,5.44611E-01,-0.263913848,864,3.825284942,15.32509307,
gr_15_sp2,P150_CORE2,gr15,grave,core,150,P,P,Advanced1,G_Advanced,Advanced10,0.350449294,6.49,220.5,96.5,3.304618647,28.05333333,38.01064613,0.557,7.426,13.3421,4.80873E+08,8.682030108,4.57252E-01,-0.339844159,787.345679,3.862463872,16.47602315,
gr_int_sp3,P150_IN3,grint,grave,interface,150,P,P,Advanced1,G_Advanced,Advanced10,0.679330328,6.2,492.2,96.8,22.075115,233.6508264,142.1833011,1.213,14.932,12.3085,1.60294E+09,9.204917982,9.37984E-01,-0.02780442,698.5689655,3.673365332,16.98742322,
gr_15_sp3,P150_CORE3,gr15,grave,core,150,P,P,Advanced1,G_Advanced,Advanced10,0.52427686,6.33,213.4,96.8,22.19152091,44.5088843,16.5272259,0.695,10.644,15.3153,7.39735E+08,8.869075933,8.45245E-01,-0.073017177,694.6612903,3.848999982,17.92006416,
conint_mean,P150_CONINT,conint,control,interface,150,P,con,Advanced1,Control,Advanced10,0.56489846,7.196666667,44.26666667,97,4.822341389,10.06090865,7.863281771,0.945333333,12.688,13.5952,5.15750E+08,8.712439492,6.77639E-01,-0.169001825,1576.644068,3.618292953,11.98988696,
con15_mean,P150,con15,control,core,150,P,con,Advanced1,Control,Advanced10,0.407425308,7.22,51.4,97,2.513326537,7.57655914,6.490919473,0.449,5.926666667,13.12986667,5.56613E+07,7.745553546,1.24945E-01,-0.903282657,975.56,4.632384789,44.35762546,
gr_int_sp1,Q168_IN1,grint,grave,interface,168,Q,Q,Advanced1,G_Advanced,Advanced11,1.022590361,6.54,338.7,96.1,39.50976148,682.421988,105.767992,2.361,21.048,8.9167,5.64181E+08,8.751418178,8.71767E-01,-0.059599478,640.0869565,3.540690596,10.06930127,
gr_15_sp1,Q168_CORE1,gr15,grave,core,168,Q,Q,Advanced1,G_Advanced,Advanced11,0.42676399,6.24,263.9,96.1,10.01755739,107.4067932,66.29696675,0.537,6.697,12.4732,3.54631E+09,9.549776542,5.50898E-01,-0.258928916,1002.382979,3.314761962,9.666945307,
gr_int_sp2,Q168_IN2,grint,grave,interface,168,Q,Q,Advanced1,G_Advanced,Advanced11,0.571240972,5.16,681.3,101.4,9.401735107,254.7505362,338.7595535,1.106,11.889,10.75,1.56906E+10,10.19563879,8.98468E+00,0.953502773,600.5245902,2.677766554,6.085744483,
gr_15_sp2,Q168_CORE2,gr15,grave,core,168,Q,Q,Advanced1,G_Advanced,Advanced11,0.365921788,6.05,314.3,101.4,2.428115292,31.90793296,82.02815642,0.438,5.602,12.7837,1.11912E+10,10.04887683,1.46550E+00,0.165984948,496.2826087,1.669030262,3.1644477,
gr_int_sp3,Q168_IN3,grint,grave,interface,168,Q,Q,Advanced1,G_Advanced,Advanced11,0.564740307,5.6,623.2,101.4,12.70361741,178.5890271,216.9773226,1.023,12.726,12.4394,7.14036E+08,8.853719969,1.98729E-01,-0.701738159,624.3230769,3.766354873,15.3868821,
gr_15_sp3,Q168_CORE3,gr15,grave,core,168,Q,Q,Advanced1,G_Advanced,Advanced11,0.647237401,6.51,109,101.4,8.888085486,19.04206436,24.18583768,1.321,16.551,12.534,7.64963E+08,8.883640629,4.18103E-02,-1.378716539,612.7254902,3.36007401,12.88162438,
conint_mean,Q168_CONINT,conint,control,interface,168,Q,con,Advanced1,Control,Advanced11,0.619179787,7.153333333,44.51666667,100.4666667,3.476697076,9.426442599,8.35951746,0.759333333,11.216,14.5426,2.93700E+08,8.467903344,6.37033E-01,-0.195838388,1411.368421,4.780661135,37.07054602,
con15_mean,Q168,con15,control,core,168,Q,con,Advanced1,Control,Advanced11,0.448909583,7.163333333,48.82333333,100.4666667,1.603389977,5.979173381,8.896706973,0.497333333,7.506,14.93816667,1.65031E+08,8.217564902,1.34529E-01,-0.871183793,1049.412844,4.577348907,40.120928,
gr_int_sp1,R201_IN1,grint,grave,interface,201,R,R,Advanced1,G_Advanced,Advanced12,0.632853403,6.34,283.9,100,35.85745061,516.7436736,80.55410122,1.291,13.933,10.795,6.23005E+09,9.794491561,1.12791E+00,0.052274753,890,3.366803097,11.32994256,
gr_15_sp1,R201_CORE1,gr15,grave,core,201,R,R,Advanced1,G_Advanced,Advanced12,0.469767442,6.5,283.8,100,6.134179394,56.43906977,62.65128682,0.498,6.301,12.6429,2.78185E+08,8.444333193,2.33972E-01,-0.630835898,1039.439024,4.380281174,29.00942893,
gr_int_sp2,R201_IN2,grint,grave,interface,201,R,R,Advanced1,G_Advanced,Advanced12,0.582931865,5.33,237.8,100,9.261124182,134.0215646,98.60610232,0.99,11.356,11.4682,9.79016E+08,8.990789614,2.79579E+00,0.446504642,977.1098901,3.357703761,10.41051327,
gr_15_sp2,R201_CORE2,gr15,grave,core,201,R,R,Advanced1,G_Advanced,Advanced12,0.404433498,5.68,455.7,100,2.209216169,78.57337274,105.4261412,0.4,5.15,12.8884,2.43072E+08,8.385735292,2.87580E-01,-0.541240722,949.5108696,4.070579732,15.64941088,
gr_int_sp3,R201_IN3,grint,grave,interface,201,R,R,Advanced1,G_Advanced,Advanced12,0.690555928,5.78,347,100,13.73856597,197.4569324,170.2277115,1.124,14.226,12.6536,8.06427E+08,8.90656489,2.18990E-01,-0.659575182,1183.113636,4.491044991,41.7018936,
gr_15_sp3,R201_CORE3,gr15,grave,core,201,R,R,Advanced1,G_Advanced,Advanced12,0.482948295,6.79,86.23,100,4.54474337,16.52993033,12.76521892,0.437,5.891,13.4748,3.33519E+08,8.52312055,3.57698E-01,-0.446483152,876.1900826,4.107536405,25.50713694,
conint_mean,R201_CONINT,conint,control,interface,201,R,con,Advanced1,Control,Advanced12,0.622028042,7.156666667,50.41,100,4.608634501,8.620905782,7.401187861,0.735333333,10.68166667,14.40006667,1.49430E+08,8.174438119,7.00437E-01,-0.154631003,1755.76699,4.992963984,39.47692617,
con15_mean,R201,con15,control,core,201,R,con,Advanced1,Control,Advanced12,0.465327112,7.186666667,44.62333333,100,2.272458433,8.129026317,8.791911168,0.502666667,7.066333333,14.03946667,1.30106E+08,8.114296185,1.24046E-01,-0.906417462,1485.310976,4.757789892,43.38879608,
gr_int_sp1,S254_IN1,grint,grave,interface,254,S,S,Advanced1,G_Advanced,Advanced13,1.02009702,7.83,361.2,100,43.28055409,1147.549781,7.811041811,1.327,13.487,10.1648,4.38823E+09,9.642289215,3.81205E-01,-0.418841146,1007.48,3.33800096,13.43125912,
gr_15_sp1,S254_CORE1,gr15,grave,core,254,S,S,Advanced1,G_Advanced,Advanced13,0.632664437,6.75,178.3,100,13.50395427,157.6283092,34.37302861,0.809,10.126,12.521,8.27531E+09,9.917784012,1.04793E+00,0.020330851,622.5671642,2.940080316,6.972793129,
gr_int_sp2,S254_IN2,grint,grave,interface,254,S,S,Advanced1,G_Advanced,Advanced13,0.589978829,5.96,471.9,100,9.290283029,669.063091,198.641355,0.882,9.834,11.1482,1.89411E+10,10.27740434,4.20393E+00,0.623655669,667.4189189,2.226695112,3.262654749,
gr_15_sp2,S254_CORE2,gr15,grave,core,254,S,S,Advanced1,G_Advanced,Advanced13,0.429403202,6.4,202.3,100,5.481313401,178.561048,41.26210577,0.38,4.863,12.7993,2.42458E+09,9.384637127,5.80886E-01,-0.23590942,952.5773196,3.473074537,9.330178871,
gr_int_sp3,S254_IN3,grint,grave,interface,254,S,S,Advanced1,G_Advanced,Advanced13,0.666857798,5.73,710.9,100,12.66272542,510.8363532,380.4880734,0.93,11.445,12.3005,3.42622E+08,8.534815067,3.27502E-01,-0.484785628,902.2692308,4.213968752,29.80169616,
gr_15_sp3,S254_CORE3,gr15,grave,core,254,S,S,Advanced1,G_Advanced,Advanced13,0.549344375,6.73,170.6,100,6.125817181,62.03574879,45.009487,0.541,7.01,12.9529,3.40302E+08,8.531865019,4.13648E-01,-0.383369591,1270.076336,4.349616229,26.79805335,
conint_mean,S254_CONINT,conint,control,interface,254,S,con,Advanced1,Control,Advanced13,0.682732999,7.606666667,58.59333333,100,5.765401987,9.871803951,9.998633412,0.817666667,12.36466667,15.1678,1.09577E+08,8.039718549,1.75700E-01,-0.755227959,1938.572864,5.497407006,65.84246783,
con15_mean,S254,con15,control,core,254,S,con,Advanced1,Control,Advanced13,0.498262323,7.593333333,74.38,100,2.01649254,8.453578308,10.28320741,0.596333333,8.287666667,13.87363333,7.68212E+07,7.885480953,5.89094E-02,-1.229815747,1446.476821,5.057685598,54.47046049,
gr_int_sp1,T303_IN1,grint,grave,interface,303,T,T,Skeletonization8,H_Skeletonization,Skeletonization1,0.905254091,6.44,130.7,100,35.85346484,202.4650014,64.93105943,0.815,9.508,11.6697,4.35664E+08,8.639151405,1.18611E-01,-0.92587321,965.1962617,3.766199498,15.45444779,
gr_15_sp1,T303_CORE1,gr15,grave,core,303,T,T,Skeletonization8,H_Skeletonization,Skeletonization1,0.520506634,6.86,124.2,100,11.4708123,67.28748693,27.65294733,0.413,5.517,13.3469,3.15296E+08,8.498718285,2.84555E-01,-0.545834458,747.1216216,3.413982034,10.41956049,
gr_int_sp2,T303_IN2,grint,grave,interface,303,T,T,Skeletonization8,H_Skeletonization,Skeletonization1,0.765326302,6.48,337.9,100,12.12044067,854.1825533,134.7297034,0.906,11.031,12.1778,5.59230E+08,8.747590827,3.76261E-01,-0.424510309,737,3.119598239,6.065464168,
gr_15_sp2,T303_CORE2,gr15,grave,core,303,T,T,Skeletonization8,H_Skeletonization,Skeletonization1,0.526315789,6.57,94.51,100,4.394904097,50.36842105,42.79789474,0.485,6.066,12.4947,3.08609E+08,8.489408314,2.63300E-01,-0.579549134,1000.029412,4.321818352,27.69972786,
gr_int_sp3,T303_IN3,grint,grave,interface,303,T,T,Skeletonization8,H_Skeletonization,Skeletonization1,1.073394495,7.8,1081,100,24.67885543,2549.445872,329.1444648,1.37,15.304,11.1742,4.26683E+08,8.630105235,3.51723E+03,3.546200461,783.245283,3.763738906,20.5683343,
gr_15_sp3,T303_CORE3,gr15,grave,core,303,T,T,Skeletonization8,H_Skeletonization,Skeletonization1,0.672839506,6.64,114.3,100,26.84631338,172.7039506,35.24115226,0.792,10.989,13.8758,6.02549E+08,8.77999255,3.89173E-02,-1.409857677,518.0895522,3.189729386,14.20066135,
conint_mean,T303_CONINT,conint,control,interface,303,T,con,Skeletonization8,Control,Skeletonization1,0.797439235,7.336666667,40.17,100,6.348392493,9.001178175,6.858079057,0.767333333,11.261,14.53826667,2.69531E+08,8.430608385,1.80185E-01,-0.744280242,1702.985577,3.932869325,6.76684434,
con15_mean,T303,con15,control,core,303,T,con,Skeletonization8,Control,Skeletonization1,0.522711699,7.533333333,42.22333333,100,1.868453988,7.068802993,6.315354055,0.418,5.765,13.7784,4.75108E+07,7.676792489,1.76327E-01,-0.753680095,1284.960938,4.516965993,30.49902453,
gr_int_sp1,V340_IN1,grint,grave,interface,340,V,V,Skeletonization9,H_Skeletonization,Skeletonization2,1.034435262,6.67,171.1,100,28.42657761,99.55169881,0.217006428,1.139,13.912,12.2164,6.88979E+08,8.838205973,7.80025E-01,-0.10789159,713.4925373,2.193762925,2.796472192,
gr_15_sp1,V340_CORE1,gr15,grave,core,340,V,V,Skeletonization9,H_Skeletonization,Skeletonization2,0.65840081,7.03,91.33,100,22.32447687,37.70097841,6.483241565,0.592,7.814,13.19,8.09346E+08,8.90813416,2.24129E-01,-0.64950281,573.0140845,3.532315673,18.52885448,
gr_int_sp2,V340_IN2,grint,grave,interface,340,V,V,Skeletonization9,H_Skeletonization,Skeletonization2,0.6485623,5.57,659.1,100,10.2785626,410.2722045,329.2728435,1.146,12.677,11.0569,5.32321E+08,8.726173696,3.14681E-01,-0.502129249,933.2830189,4.062368057,21.69456786,
gr_15_sp2,V340_CORE2,gr15,grave,core,340,V,V,Skeletonization9,H_Skeletonization,Skeletonization2,0.450669311,5.78,428,100,4.007149597,80.90866303,171.3724013,0.459,5.602,12.2105,1.50445E+09,9.177377362,8.93838E-01,-0.048740985,1003.566667,3.33716046,7.894336458,
gr_int_sp3,V340_IN3,grint,grave,interface,340,V,V,Skeletonization9,H_Skeletonization,Skeletonization2,0.826685007,5.67,463.6,100,12.58784765,919.5532325,238.3215039,1.155,13.476,11.6649,6.85470E+08,8.83598869,5.98675E-02,-1.222809059,901.8988764,3.264331492,10.03102571,
gr_15_sp3,V340_CORE3,gr15,grave,core,340,V,V,Skeletonization9,H_Skeletonization,Skeletonization2,0.849193548,5.92,329.2,100,17.57283359,256.9885914,125.7944731,1.002,12.862,12.8361,1.71104E+09,9.233261039,2.03045E+03,3.30759203,823.6179775,3.466988208,12.25074301,
conint_mean,V340_CONINT,conint,control,interface,340,V,con,Skeletonization9,Control,Skeletonization2,0.818874905,7.173333333,75.37333333,100,6.779432329,10.02237659,11.13040625,0.862666667,13.23333333,15.24586667,1.08917E+08,8.03709411,6.54208E-02,-1.184284357,1390.969512,5.189351101,40.49273553,
con15_mean,V340,con15,control,core,340,V,con,Skeletonization9,Control,Skeletonization2,0.587178902,7.246666667,75.56666667,100,3.036079382,8.480144668,11.07628703,0.544666667,7.658333333,14.04756667,4.31651E+07,7.635132543,5.11227E-02,-1.291386332,1068.424528,4.703560179,41.13933047,
gr_int_sp1,W357_IN1,grint,grave,interface,357,W,W,Skeletonization10,H_Skeletonization,Skeletonization3,0.508692853,6,68.13,100,13.36130472,18.02385061,32.48316291,1.099,12.335,11.2207,9.87125E+09,9.994371947,1.68308E+00,0.226104714,944.3942308,3.488640972,10.33603216,
gr_15_sp1,W357_CORE1,gr15,grave,core,357,W,W,Skeletonization10,H_Skeletonization,Skeletonization3,0.515002459,6.54,67.01,100,8.66613255,67.36710936,24.12691917,0.505,6.534,12.9412,1.65347E+09,9.218397044,3.30944E-01,-0.480246078,1233.565217,3.442192565,11.40211242,
gr_int_sp2,W357_IN2,grint,grave,interface,357,W,W,Skeletonization10,H_Skeletonization,Skeletonization3,0.547535211,5.89,174,100,7.500121008,207.2459155,93.16161972,0.979,10.973,11.2045,1.08718E+10,10.03630335,3.13727E+00,0.496552412,1022.247423,2.914973318,5.933204856,
gr_15_sp2,W357_CORE2,gr15,grave,core,357,W,W,Skeletonization10,H_Skeletonization,Skeletonization3,0.405011655,5.89,120.4,100,2.663067965,9.348010878,56.12553225,0.26,3.312,12.7261,3.04228E+09,9.483199688,6.91220E-01,-0.160383649,990.266055,3.563212637,9.874830311,
gr_int_sp3,W357_IN3,grint,grave,interface,357,W,W,Skeletonization10,H_Skeletonization,Skeletonization3,1.069279216,5.8,319.9,100,14.30033353,719.0607324,434.8245393,1.224,14.614,11.9424,7.62195E+09,9.882065944,2.99561E+00,0.476485888,938.010101,3.427237084,11.98036153,
gr_15_sp3,W357_CORE3,gr15,grave,core,357,W,W,Skeletonization10,H_Skeletonization,Skeletonization3,0.558496559,6.15,150.9,100,15.96433538,47.30556555,44.30286218,0.482,6.557,13.591,1.84394E+08,8.265745773,1.46225E+00,0.165021975,695.875,2.597333029,6.593670248,
conint_mean,W357_CONINT,conint,control,interface,357,W,con,Skeletonization10,Control,Skeletonization3,0.664314906,6.71,42.91666667,100,8.121684136,10.43945938,9.931713738,0.726,10.733,14.77353333,4.23974E+08,8.627338915,1.76380E-01,-0.75354988,2464.724684,4.900571787,22.24046333,
con15_mean,W357,con15,control,core,357,W,con,Skeletonization10,Control,Skeletonization3,0.491526239,6.986666667,34.73333333,100,3.322988674,7.698005454,8.05174179,0.405333333,5.752666667,14.0916,2.89264E+08,8.461293694,5.36299E-02,-1.270593249,2185.114286,5.231982186,65.68278738,
gr_int_sp1,Y376_IN1,grint,grave,interface,376,Y,Y,Skeletonization10,H_Skeletonization,Skeletonization4,0.726737338,6.66,35.51,100,9.050619026,19.29341186,5.451885355,0.96,11.979,12.4758,8.42214E+09,9.925422431,1.78998E+00,0.252847917,1192.632813,3.436587091,10.47679547,
gr_15_sp1,Y376_CORE1,gr15,grave,core,376,Y,Y,Skeletonization10,H_Skeletonization,Skeletonization4,0.616100767,7.48,79.86,100,8.896027414,37.13799562,0.995518072,0.513,7.205,14.0422,8.51523E+09,9.930196606,1.37798E-01,-0.860755544,557.5441176,2.613527646,5.853053725,
gr_int_sp2,Y376_IN2,grint,grave,interface,376,Y,Y,Skeletonization10,H_Skeletonization,Skeletonization4,0.626930204,5.42,46.52,100,5.072805763,34.14384188,19.43639284,0.89,11.037,12.398,1.36809E+10,10.13611423,4.02036E+00,0.604264633,932.8829787,3.001271983,6.468958285,
gr_15_sp2,Y376_CORE2,gr15,grave,core,376,Y,Y,Skeletonization10,H_Skeletonization,Skeletonization4,0.520980926,5.97,180.1,100,3.009736142,7.037071753,53.5790881,0.662,8.093,12.2299,6.04703E+09,9.781542151,1.22349E+00,0.087600738,841.4512195,2.251684476,3.894081184,
gr_int_sp3,Y376_IN3,grint,grave,interface,376,Y,Y,Skeletonization10,H_Skeletonization,Skeletonization4,0.718673219,5.29,414.7,100,10.52596324,344.4679443,164.9009664,0.811,12.351,15.2306,8.31381E+09,9.919800093,2.64450E+00,0.422344336,1353.263566,3.740123278,16.15047902,
gr_15_sp3,Y376_CORE3,gr15,grave,core,376,Y,Y,Skeletonization10,H_Skeletonization,Skeletonization4,0.591034864,6.44,58.68,100,9.587197772,115.0424276,31.86312488,0.625,9.771,15.6295,9.00140E+08,8.95430984,2.21614E+00,0.34559655,892.875,3.276038364,11.69285992,
conint_mean,Y376_CONINT,conint,control,interface,376,Y,con,Skeletonization10,Control,Skeletonization4,0.718151372,7.253333333,34.48333333,100,4.175036102,6.706921516,7.36110927,0.812,12.80766667,16.92453333,8.67386E+08,8.938212232,3.77480E-01,-0.42310578,2760.003215,5.625282238,64.09192396,
con15_mean,Y376,con15,control,core,376,Y,con,Skeletonization10,Control,Skeletonization4,0.518846529,7.426666667,33.13,100,1.841779719,4.239303797,4.67652974,0.551666667,7.617,13.77796667,5.72328E+08,8.757644841,2.35763E-02,-1.627523738,1711.931818,5.095158222,59.67955982,
blank,ZPCRBLANK1,blank,blank,blank,,,,,,,,,,,,,,,,,,,,,,,,
blank,ZPCRBLANK2,blank,blank,blank,,,,,,,,,,,,,,,,,,,,,,,,
swab,A0_swab,swab,swab,swab,A,Z,Z,,,,,,,,,,,,,,,,,,,,,
swab,E27_swab,swab,swab,swab,E,Z,Z,,,,,,,,,,,,,,,,,,,,,
swab,F43_swab,swab,swab,swab,F,Z,Z,,,,,,,,,,,,,,,,,,,,,
swab,G58_swab,swab,swab,swab,G,Z,Z,,,,,,,,,,,,,,,,,,,,,
swab,H72_swab,swab,swab,swab,H,Z,Z,,,,,,,,,,,,,,,,,,,,,
swab,J86_swab,swab,swab,swab,J,Z,Z,,,,,,,,,,,,,,,,,,,,,
swab,K103_swab,swab,swab,swab,K,Z,Z,,,,,,,,,,,,,,,,,,,,,
swab,M117_swab,swab,swab,swab,M,Z,Z,,,,,,,,,,,,,,,,,,,,,
swab,N132_swab,swab,swab,swab,N,Z,Z,,,,,,,,,,,,,,,,,,,,,
swab,P150_swab,swab,swab,swab,P,Z,Z,,,,,,,,,,,,,,,,,,,,,
swab,Q168_swab,swab,swab,swab,Q,Z,Z,,,,,,,,,,,,,,,,,,,,,
swab,R201_swab,swab,swab,swab,R,Z,Z,,,,,,,,,,,,,,,,,,,,,
swab,S254_swab,swab,swab,swab,S,Z,Z,,,,,,,,,,,,,,,,,,,,,
swab,T303_swab,swab,swab,swab,T,Z,Z,,,,,,,,,,,,,,,,,,,,,
swab,W357_swab,swab,swab,swab,W,Z,Z,,,,,,,,,,,,,,,,,,,,,
swab,Y376_swab,swab,swab,swab,Y,Z,Z,,,,,,,,,,,,,,,,,,,,,
