Sample_name,Sample,Type,Location,Depth,Sort1,Sort2,Stage,Stage1,Study day,Moisture,pH,EC,DO,CO2,NH4,NO3,TN,TC,CN_ratio,copies/gdw,log copies/gdw,fungal:bacterial ratio,log f:b ratio,Chao1,Shannon,InvSimpson
M172_CORE1,gr_15_win1,gr15,grave,core,M,M,Skeletonization2,H_Skeletonization,172,0.948430493,6.54,227.1,93.1,43.69829193,327.5961136,27.12215247,2.341,21.835,9.3279,5.45356E+09,9.736680477,4.30751E-01,-0.365773994,518.7258065,2.725415222,7.369333507
M172_INT2,gr_int_win2,grint,grave,interface,M,M,Skeletonization2,H_Skeletonization,172,0.347435219,6.13,188.3,99.2,13.29036906,146.7806099,71.41406663,0.959,12.753,13.2989,5.23423E+09,9.718853004,1.86581E-01,-0.729132382,696.125,3.635202094,16.54319914
M172_CORE2,gr_15_win2,gr15,grave,core,M,M,Skeletonization2,H_Skeletonization,172,0.425329815,6.24,194.5,99.2,3.927106825,26.87221812,16.26016253,0.304,3.842,12.6529,2.74669E+09,9.438809778,9.23074E-02,-1.034763453,1049.084034,4.218746322,26.77238066
M172_INT3,gr_int_win3,grint,grave,interface,M,M,Skeletonization2,H_Skeletonization,172,0.531042129,6.5,357.9,99.8,45.96802963,697.5427938,313.4553585,1.054,12.302,11.6726,2.79323E+09,9.446106562,1.20059E-01,-0.920603978,624.5245902,3.529274303,14.3924845
M172_CORE3,gr_15_win3,gr15,grave,core,M,M,Skeletonization2,H_Skeletonization,172,0.427518428,6.43,286.5,99.8,7.440196768,110.5850942,157.6361016,0.886,9.999,11.2805,1.85376E+09,9.268054191,6.47302E-02,-1.188892786,1344.210526,4.183336111,17.01373206
M172_CONINT,conint_mean,conint,control,interface,M,con,Skeletonization2,Control,172,0.344541405,7.403333333,31.54666667,100.3333333,1.373981397,6.767087578,13.93809631,0.839333333,12.82666667,15.19933333,6.11272E+08,8.786234543,7.57281E-02,-1.12074266,1285.221311,5.35536082,70.06394546
M172,con15_mean,con15,control,core,M,con,Skeletonization2,Control,172,0.341043707,7.196666667,31.25,100.3333333,1.396957926,7.333551586,7.828074137,0.517666667,6.93,13.54866667,3.17045E+08,8.501120872,7.06039E-02,-1.151171156,934.9787234,4.881820221,41.51227077
N186_INT1,gr_int_win1,grint,grave,interface,N,N,Skeletonization3,H_Skeletonization,186,0.405167352,6.31,139.6,93.8,12.39774077,129.2753964,97.49987865,1.265,16.198,12.8045,1.67306E+09,9.223511092,3.61193E-02,-1.442260793,697.7857143,2.848465531,5.52589466
N186_CORE1,gr_15_win1,gr15,grave,core,N,N,Skeletonization3,H_Skeletonization,186,0.24442025,6.78,146.8,93.8,9.265667169,47.91847578,25.36626238,0.46,6.241,13.5594,1.80749E+10,10.25707698,7.86681E-01,-0.104201089,510.4883721,2.909774387,9.790431546
N186_INT2,gr_int_win2,grint,grave,interface,N,N,Skeletonization3,H_Skeletonization,186,0.25931677,6.42,265.5,101,8.366251867,493.6521739,104.1371014,0.884,10.966,12.4028,8.16492E+09,9.911951938,3.42809E-01,-0.464947256,502.0652174,3.378976373,12.0671789
N186_CORE2,gr_15_win2,gr15,grave,core,N,N,Skeletonization3,H_Skeletonization,186,0.273410115,6.85,127.6,101,7.648719872,18.43897847,11.05659556,0.337,4.148,12.3155,2.57108E+09,9.410114752,3.10895E-01,-0.507386299,617.25,3.247217539,9.941360359
N186_INT3,gr_int_win3,grint,grave,interface,N,N,Skeletonization3,H_Skeletonization,186,0.254518072,6.44,324.9,100.9,8.350260496,283.0192771,180.6171486,1.103,13.026,11.8082,5.32857E+09,9.726610826,4.28486E-01,-0.368063244,776.109589,3.82343011,14.47406508
N186_CORE3,gr_15_win3,gr15,grave,core,N,N,Skeletonization3,H_Skeletonization,186,0.305590851,7.11,265.7,100.9,5.085782184,52.91994917,85.71639136,0.655,7.791,11.8869,1.21186E+09,9.083452189,8.74744E-02,-1.058119097,1014.027273,4.125160327,20.23685246
N186_CONINT,conint_mean,conint,control,interface,N,con,Skeletonization3,Control,186,0.198190045,7.42,34.59666667,101.3,0.49192926,7.712440791,13.72071539,0.790666667,11.352,14.4155,4.75896E+07,7.677512332,1.76875E-03,-2.752332805,1923.267206,5.230946152,60.22346892
N186,con15_mean,con15,control,core,N,con,Skeletonization3,Control,186,0.204788589,7.326666667,36.40333333,101.3,0.985022535,4.841502418,2.673760598,0.573,8.252333333,14.438,1.13557E+09,9.055215351,5.23928E-02,-1.280728481,1498.68254,5.159148353,58.87763718
P201_INT1,gr_int_win1,grint,grave,interface,P,P,Skeletonization4,H_Skeletonization,201,0.813844086,6.4,127.6,99.5,20.46602859,126.969086,68.6600448,1.413,17.359,12.2838,2.23835E+10,10.34992789,9.88365E-01,-0.005082647,486.3488372,2.669327577,6.660758639
P201_CORE1,gr_15_win1,gr15,grave,core,P,P,Skeletonization4,H_Skeletonization,201,0.815232722,7.07,137.8,99.5,10.642032,17.74571509,29.2663921,1.068,14.543,13.6159,8.63684E+09,9.936354974,8.29176E-01,-0.081353259,668.9512195,2.801113941,4.916875933
P201_INT2,gr_int_win2,grint,grave,interface,P,P,Skeletonization4,H_Skeletonization,201,0.844370861,7.11,196.1,99.7,28.82698989,269.2781457,21.49306843,1.784,20.021,11.2244,8.40423E+10,10.92449779,4.20731E-01,-0.375995919,383.0909091,2.879174937,9.589622069
P201_CORE2,gr_15_win2,gr15,grave,core,P,P,Skeletonization4,H_Skeletonization,201,0.293120155,6.9,172.6,99.7,5.1438845,14.31742636,29.23486047,0.376,4.678,12.4404,2.22918E+09,9.348144631,2.97118E-01,-0.527070807,599.6,3.27448982,6.624392142
P201_INT3,gr_int_win3,grint,grave,interface,P,P,Skeletonization4,H_Skeletonization,201,0.55,6.22,717.8,101.3,23.6500663,639.9433333,329.84,1.069,10.861,10.1625,8.71080E+09,9.940058213,6.99061E-01,-0.155484905,1185.676471,3.596842002,13.35023839
P201_CORE3,gr_15_win3,gr15,grave,core,P,P,Skeletonization4,H_Skeletonization,201,0.517548747,7.45,153.7,101.3,1.624639079,4.532412256,12.9497493,0.624,8.269,13.2492,2.17455E+08,8.337368617,5.73553E-02,-1.241426767,451.5652174,3.817351413,15.15767324
P201_CONINT,conint_mean,conint,control,interface,P,con,Skeletonization4,Control,201,0.737367756,7.553333333,67.92,100.9,3.484662266,7.850123271,10.94948503,0.876666667,13.44633333,15.38843333,3.61586E+08,8.558212103,6.21022E-02,-1.206893044,1084.796875,5.228358582,67.24563234
P201,con15_mean,con15,control,core,P,con,Skeletonization4,Control,201,0.376164884,7.323333333,95.64,100.9,2.40834683,10.60423965,27.39470603,0.533666667,6.811333333,13.01273333,7.23263E+08,8.859296124,3.50289E-02,-1.455573843,1262.312883,4.828604848,38.98559841
Q216_INT1,gr_int_win1,grint,grave,interface,Q,Q,Skeletonization5,H_Skeletonization,216,0.249282297,5.98,222.6,100,2.226740575,110.769697,153.6117512,1.392,16.843,12.0972,1.41227E+10,10.1499182,1.04218E+00,0.017943365,607.35,2.976396446,7.148929064
Q216_CORE1,gr_15_win1,gr15,grave,core,Q,Q,Skeletonization5,H_Skeletonization,216,0.197006277,7.02,99.44,100,2.708613552,21.18860711,22.34411717,0.209,2.542,12.1446,2.97087E+09,9.472883281,1.43224E-01,-0.843984564,912.125,2.905562585,6.14410857
Q216_INT2,gr_int_win2,grint,grave,interface,Q,Q,Skeletonization5,H_Skeletonization,216,0.170558799,6.35,212.2,100,2.770439606,85.84097859,167.62402,0.959,11.51,11.9968,1.32111E+08,8.1209384,4.07725E-03,-2.389632144,1060.777778,4.156870611,23.93690225
Q216_CORE2,gr_15_win2,gr15,grave,core,Q,Q,Skeletonization5,H_Skeletonization,216,0.19026351,6.94,76.97,100,0.967510327,16.16219145,10.66476105,0.479,6.039,12.6016,4.65458E+09,9.667880563,5.40556E-01,-0.267159452,578.0461538,2.522420628,3.91459817
Q216_INT3,gr_int_win3,grint,grave,interface,Q,Q,Skeletonization5,H_Skeletonization,216,0.18708536,6.33,371.8,100,1.328467626,438.3510541,402.7384933,1.219,15.736,12.9098,5.68826E+09,9.754979627,4.97676E-01,-0.30305331,420.2040816,2.793700498,6.773280972
Q216_CORE3,gr_15_win3,gr15,grave,core,Q,Q,Skeletonization5,H_Skeletonization,216,0.247497725,6.57,167.8,100,1.826316958,60.87123567,75.83122839,0.768,9.04,11.7701,1.39752E+09,9.145357959,2.28704E-01,-0.640725908,659.9014085,3.701011893,14.55720368
Q216_CONINT,conint_mean,conint,control,interface,Q,con,Skeletonization5,Control,216,0.161111553,7.436666667,45.2,100,0.299782803,12.80968083,13.03821551,0.828666667,11.891,14.3713,4.72721E+08,8.674604896,6.94109E-02,-1.158572579,987.2,4.890468662,49.87733837
Q216,con15_mean,con15,control,core,Q,con,Skeletonization5,Control,216,0.200050793,7.18,36.16333333,100,0.543693906,6.088555295,7.636631322,0.515666667,6.963333333,13.7416,6.59282E+08,8.819071448,1.04996E-01,-0.978828104,992.2213115,4.846960028,46.64880784
R234_INT1,gr_int_win1,grint,grave,interface,R,R,Skeletonization6,H_Skeletonization,234,0.170546833,5.83,185.7,100,0.683897243,142.2604584,152.5612705,1.233,14.699,11.9261,1.09390E+10,10.03897743,5.06829E-01,-0.295138539,595.625,2.990516599,6.390441476
R234_CORE1,gr_15_win1,gr15,grave,core,R,R,Skeletonization6,H_Skeletonization,234,0.193301435,6.81,95.34,100,1.414591797,25.80713238,28.74106284,0.754,10.144,13.4588,1.13639E+09,9.055527449,3.22933E-01,-0.490887905,353.4102564,3.445096804,15.01619441
R234_INT2,gr_int_win2,grint,grave,interface,R,R,Skeletonization6,H_Skeletonization,234,0.173376029,6.7,66.15,100,0.556988788,76.34766697,45.605215,0.883,11.483,13.0038,5.38744E+09,9.731382277,2.17743E-01,-0.662056092,708.2941176,3.451281994,12.15094465
R234_CORE2,gr_15_win2,gr15,grave,core,R,R,Skeletonization6,H_Skeletonization,234,0.180700095,6.85,86.34,100,0.664563472,16.38811731,13.74649763,0.46,5.658,12.3095,4.06287E+09,9.608832712,4.14650E-01,-0.382318464,935.983871,4.216559302,26.38806168
R234_INT3,gr_int_win3,grint,grave,interface,R,R,Skeletonization6,H_Skeletonization,234,0.206956522,6.42,346.5,100,1.482911123,287.0142609,232.3793623,1.081,12.709,11.7568,6.03264E+09,9.780507596,4.09384E-01,-0.387869636,486.1666667,2.668050569,7.010054862
R234_CORE3,gr_15_win3,gr15,grave,core,R,R,Skeletonization6,H_Skeletonization,234,0.241540864,6.5,570.4,100,1.832337983,150.5409682,141.601874,0.951,11.309,11.8857,4.29074E+09,9.63253173,3.86977E-01,-0.41231442,714.345679,3.200400055,6.929592406
R234_CONINT,conint_mean,conint,control,interface,R,con,Skeletonization6,Control,234,0.202222056,7,75.04666667,100,0.400420482,18.44152792,34.96574155,0.873666667,13.341,15.35633333,5.39940E+08,8.732345215,3.29591E-02,-1.482025304,1708.780488,5.366794004,76.50268437
R234,con15_mean,con15,control,core,R,con,Skeletonization6,Control,234,0.191130034,7.213333333,31.96,100,0.415409428,6.492298734,12.26686832,0.615,8.272,13.48933333,2.95421E+08,8.470440724,5.61236E-02,-1.250854449,837.5365854,4.834862107,41.92946595
S252_INT1,gr_int_win1,grint,grave,interface,S,S,Skeletonization7,H_Skeletonization,252,0.340981857,6.45,91.91,100,12.51208194,138.4787264,145.2193952,0.786,10.356,13.1698,1.35139E+09,9.130780613,2.04902E-01,-0.68845342,719.2021277,4.178607445,26.93838773
S252_CORE1,gr_15_win1,gr15,grave,core,S,S,Skeletonization7,H_Skeletonization,252,0.287465181,6.83,157.6,100,3.326767923,26.07889471,43.63648654,0.419,5.144,12.2818,4.42285E+09,9.645702328,6.47751E-01,-0.188591604,518.4698795,2.597227705,5.432088287
S252_INT2,gr_int_win2,grint,grave,interface,S,S,Skeletonization7,H_Skeletonization,252,0.283289125,6.58,260.6,100,12.41311891,151.7703271,151.8045482,0.723,9.405,13.0118,1.08025E+10,10.03352583,7.35329E-01,-0.133518454,660.6,3.133062185,8.610116083
S252_CORE2,gr_15_win2,gr15,grave,core,S,S,Skeletonization7,H_Skeletonization,252,0.219812716,6.92,70.94,100,3.680501046,25.94460325,27.60029571,0.308,3.913,12.7172,2.71164E+09,9.433232058,1.36719E-01,-0.864171691,1134.782313,3.391420702,8.520781671
S252_INT3,gr_int_win3,grint,grave,interface,S,S,Skeletonization7,H_Skeletonization,252,0.253702819,6.32,251.8,100,8.402675669,386.5583692,288.1009078,1.912,20.106,10.5138,5.70474E+09,9.756235503,6.91665E-01,-0.160104401,558.3050847,2.552857972,6.120400137
S252_CORE3,gr_15_win3,gr15,grave,core,S,S,Skeletonization7,H_Skeletonization,252,0.313861386,7.02,326.9,100,3.146910889,58.72084488,104.4432211,0.8,9.222,11.5211,7.49652E+08,8.874859623,5.41846E-02,-1.266124373,925.1428571,4.22939727,27.09125295
S252_CONINT,conint_mean,conint,control,interface,S,con,Skeletonization7,Control,252,0.49652109,7.25,96.09333333,100,3.399865361,5.950171774,30.25327095,0.725666667,10.27266667,14.2592,5.21621E+08,8.717354969,1.01667E-01,-0.992820388,1003.886364,5.195973509,62.42609053
S252,con15_mean,con15,control,core,S,con,Skeletonization7,Control,252,0.345425704,7.146666667,90.68333333,100,1.667254156,6.545588453,27.57273476,0.538,7.058,13.09593333,1.94750E+08,8.289476888,2.79601E-02,-1.553461608,746.0810811,4.469674051,25.06741151
T290_INT1,gr_int_win1,grint,grave,interface,T,T,Skeletonization8,H_Skeletonization,290,0.597135741,7.05,63.49,100,7.97882006,40.14134496,48.97882939,0.903,12.408,13.7351,1.24284E+10,10.09441615,3.65560E-01,-0.437040862,734.5185185,2.693475053,5.738608489
T290_CORE1,gr_15_win1,gr15,grave,core,T,T,Skeletonization8,H_Skeletonization,290,0.454381753,7.22,41.38,100,4.05356487,10.20006403,21.81960464,0.409,5.225,12.7894,5.12774E+09,9.709926303,3.09645E-01,-0.509135534,1064.705882,3.758172214,11.60274254
T290_INT2,gr_int_win2,grint,grave,interface,T,T,Skeletonization8,H_Skeletonization,290,0.645024272,6.5,121.4,100,12.65691801,38.16456311,29.12789644,0.877,11.036,12.5876,1.45982E+10,10.16429796,4.93231E-01,-0.3069494,1168.428571,3.107780254,6.178606973
T290_CORE2,gr_15_win2,gr15,grave,core,T,T,Skeletonization8,H_Skeletonization,290,0.508244994,7.2,69.39,100,4.090570818,9.049469965,10.60195681,0.609,9.006,14.7994,1.63390E+09,9.213226586,1.37887E-01,-0.860475533,971,4.261759316,25.67808305
T290_INT3,gr_int_win3,grint,grave,interface,T,T,Skeletonization8,H_Skeletonization,290,0.658719346,6.19,448.5,100,11.65150753,263.1834696,247.9232516,0.898,10.119,11.2645,2.53575E+10,10.40410601,8.00096E-01,-0.096857634,1008.833333,3.024763631,6.801613668
T290_CORE3,gr_15_win3,gr15,grave,core,T,T,Skeletonization8,H_Skeletonization,290,0.574468085,6.87,199.2,100,5.953843797,31.20385816,70.64113475,0.786,8.859,11.275,3.36476E+09,9.526954664,1.49974E-01,-0.823984141,1218.449541,4.023448111,21.91751564
T290_CONINT,conint_mean,conint,control,interface,T,con,Skeletonization8,Control,290,0.599685054,7.226666667,51.18333333,100,2.794623828,8.792033273,5.615296353,0.696333333,9.692,13.97716667,2.88211E+09,9.459710296,1.08770E-01,-0.963492782,1737.995413,4.908140048,38.20109001
T290,con15_mean,con15,control,core,T,con,Skeletonization8,Control,290,0.476846963,7.38,43.12,100,1.318537478,4.751516641,5.059885262,0.545666667,7.045,12.97246667,4.63430E+08,8.665984273,4.00539E-02,-1.397355442,1441.715789,4.959084635,37.21963798
V335_INT1,gr_int_win1,grint,grave,interface,V,V,Skeletonization9,H_Skeletonization,335,0.82192846,6.8,69.98,100,13.1839742,18.60796267,39.03785381,1.051,13.715,13.0537,5.45050E+09,9.736436283,9.03843E-02,-1.043906984,942.776699,3.440421483,11.1838721
V335_CORE1,gr_15_win1,gr15,grave,core,V,V,Skeletonization9,H_Skeletonization,335,0.451456311,6.89,52.34,100,4.457141304,6.665087379,13.27598706,0.502,6.136,12.2172,6.01854E+09,9.779491482,6.20922E-01,-0.206962675,617.9117647,3.591549274,13.69681509
V335_INT2,gr_int_win2,grint,grave,interface,V,V,Skeletonization9,H_Skeletonization,335,0.913740458,6.93,120.3,100,21.12310275,27.45579644,71.70147583,1.036,12.608,12.1739,6.54493E+09,9.815904896,9.15264E-02,-1.038453612,1392.12766,3.859209582,16.87580897
V335_CORE2,gr_15_win2,gr15,grave,core,V,V,Skeletonization9,H_Skeletonization,335,0.461779449,7.19,73.26,100,5.496380032,11.24205848,16.87868003,0.344,4.215,12.2498,1.19371E+09,9.076898739,1.26135E-01,-0.899165962,514.125,3.283583312,7.569165319
V335_INT3,gr_int_win3,grint,grave,interface,V,V,Skeletonization9,H_Skeletonization,335,0.762539683,6.27,231.2,100,14.96605936,44.5805037,123.4482794,1.012,10.591,10.4703,2.02253E+09,9.305895276,4.11983E-02,-1.385120817,1099.788991,3.96725474,18.46178612
V335_CORE3,gr_15_win3,gr15,grave,core,V,V,Skeletonization9,H_Skeletonization,335,0.679812834,6.95,170.4,100,7.394273932,113.5105526,86.34237968,1.06,11.224,10.5906,2.60828E+09,9.416354018,8.34444E-02,-1.078602726,1154.503311,4.171027237,19.92701606
V335_CONINT,conint_mean,conint,control,interface,V,con,Skeletonization9,Control,335,0.723084631,7.526666667,45.90666667,100,4.349041571,4.530624959,7.686762086,0.78,11.12566667,14.30696667,1.14760E+09,9.059790067,3.05948E-02,-1.514351754,2159.056537,5.624547468,92.65752579
V335,con15_mean,con15,control,core,V,con,Skeletonization9,Control,335,0.541213809,7.636666667,46.52,100,2.089115572,3.640142866,7.189670398,0.620333333,8.035333333,12.936,9.31525E+08,8.969194293,2.84108E-02,-1.546517129,1589.910314,5.215215754,60.60908138
W384_INT1,gr_int_win1,grint,grave,interface,W,W,Skeletonization10,H_Skeletonization,384,0.783368274,6.81,79.02,100,13.08731732,25.6567249,42.89595155,1.365,15.201,11.1358,8.21294E+09,9.914498885,2.13479E-01,-0.670643944,1280.298013,3.634659274,8.806601472
W384_CORE1,gr_15_win1,gr15,grave,core,W,W,Skeletonization10,H_Skeletonization,384,0.427094668,6.9,44.59,100,4.497846277,6.697830976,14.97878564,0.534,6.439,12.0658,2.94758E+09,9.469465333,8.55505E-02,-1.06777738,1182.517647,4.210539008,17.12126618
W384_INT2,gr_int_win2,grint,grave,interface,W,W,Skeletonization10,H_Skeletonization,384,1.11452514,6.83,96.44,100,33.0049682,28.33463687,40.42972067,1.084,14.617,13.4793,7.57501E+09,9.879383387,1.49665E-01,-0.824880972,1138.488889,3.991005282,19.10108972
W384_CORE2,gr_15_win2,gr15,grave,core,W,W,Skeletonization10,H_Skeletonization,384,0.727591036,7.05,64.16,100,7.63124805,29.03735014,42.14400747,0.955,12.145,12.715,3.09512E+09,9.490677814,1.13406E-01,-0.945362954,1454.836066,4.469919293,26.67029099
W384_INT3,gr_int_win3,grint,grave,interface,W,W,Skeletonization10,H_Skeletonization,384,0.838912134,6.15,295.1,100,16.94834394,476.8421757,161.9223431,1.047,10.923,10.4285,4.28939E+09,9.632395649,1.01256E-01,-0.994577857,727.625,3.142526122,8.954799946
W384_CORE3,gr_15_win3,gr15,grave,core,W,W,Skeletonization10,H_Skeletonization,384,0.697421981,6.42,291.1,100,8.815437268,5.82102578,8.319630936,0.804,8.793,10.9381,4.23733E+09,9.627091953,1.53057E-01,-0.815146251,928.8425926,3.58475564,11.52298283
W384_CONINT,conint_mean,conint,control,interface,W,con,Skeletonization10,Control,384,0.700089656,6.94,47.79666667,100,4.265319194,34.18862137,7.127438491,0.716333333,10.634,14.88526667,9.39336E+08,8.972821187,4.77616E-02,-1.320921451,1816.307377,5.550984914,85.38396254
W384,con15_mean,con15,control,core,W,con,Skeletonization10,Control,384,0.536901423,7.37,53.61333333,100,1.547419194,5.615671036,7.256384691,0.507,6.868,13.71876667,7.12206E+08,8.852605576,3.67482E-02,-1.434763699,1375.38342,4.912424232,41.16491997
ZABLANK1,ZABLANK1,blank,blank,blank,blank,blank,blank,blank,,,,,,,,,,,,,,,,,,
ZABLANK3,ZABLANK3,blank,blank,blank,blank,blank,blank,blank,,,,,,,,,,,,,,,,,,
ZABLANK4,ZABLANK4,blank,blank,blank,blank,blank,blank,blank,,,,,,,,,,,,,,,,,,
ZABLANK6,ZABLANK6,blank,blank,blank,blank,blank,blank,blank,,,,,,,,,,,,,,,,,,
ZABLANK7,ZABLANK7,blank,blank,blank,blank,blank,blank,blank,,,,,,,,,,,,,,,,,,
ZABLANK8,ZABLANK8,blank,blank,blank,blank,blank,blank,blank,,,,,,,,,,,,,,,,,,
ZB,ZB,blank,blank,blank,blank,blank,blank,blank,,,,,,,,,,,,,,,,,,
ZPCRBLANK1,ZPCRBLANK1,blank,blank,blank,blank,blank,blank,blank,,,,,,,,,,,,,,,,,,
ZPCRBLANK2,ZPCRBLANK2,blank,blank,blank,blank,blank,blank,blank,,,,,,,,,,,,,,,,,,
A0_swab,A0_swab,swab,swab,swab,A,DA,Initial,Initial,,,,,,,,,,,,,,,,,,
B5_swab,B5_swab,swab,swab,swab,B,DB,Bloat,Bloat,,,,,,,,,,,,,,,,,,
C21_swab,C21_swab,swab,swab,swab,C,DC,Active,Active,,,,,,,,,,,,,,,,,,
E558_swab,E558_swab,swab,swab,swab,E,E,Advanced1,Advanced,,,,,,,,,,,,,,,,,,
F75_swab,F75_swab,swab,swab,swab,F,F,Advanced2,Advanced,,,,,,,,,,,,,,,,,,
G94_swab,G94_swab,swab,swab,swab,G,G,Advanced3,Advanced,,,,,,,,,,,,,,,,,,
H110_swab,H110_swab,swab,swab,swab,H,H,Advanced4,Advanced,,,,,,,,,,,,,,,,,,
J126_swab,J126_swab,swab,swab,swab,J,J,Advanced5_transition,Advanced,,,,,,,,,,,,,,,,,,
K1589_swab,K1589_swab,swab,swab,swab,K,K,Skeletonization1,Skeletonization,,,,,,,,,,,,,,,,,,
M172_swab,M172_swab,swab,swab,swab,M,M,Skeletonization2,Skeletonization,,,,,,,,,,,,,,,,,,
N186_swab,N186_swab,swab,swab,swab,N,N,Skeletonization3,Skeletonization,,,,,,,,,,,,,,,,,,
R234_swab,R234_swab,swab,swab,swab,R,R,Skeletonization6,Skeletonization,,,,,,,,,,,,,,,,,,
S252_swab,S252_swab,swab,swab,swab,S,S,Skeletonization7,Skeletonization,,,,,,,,,,,,,,,,,,
T290_swab,T290_swab,swab,swab,swab,T,T,Skeletonization8,Skeletonization,,,,,,,,,,,,,,,,,,
V335_swab,V335_swab,swab,swab,swab,V,V,Skeletonization9,Skeletonization,,,,,,,,,,,,,,,,,,
W384_swab,W384_swab,swab,swab,swab,W,W,Skeletonization10,Skeletonization,,,,,,,,,,,,,,,,,,
