"","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank"
"4415689","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Dermabacteraceae","g__Brachybacterium","s__","p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Dermabacteraceae_g__Brachybacterium_s__"
"1099710","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Peptococcaceae","g__Peptococcus","s__","p__Firmicutes_c__Clostridia_o__Clostridiales_f__Peptococcaceae_g__Peptococcus_s__"
"1061772","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__","s__","p__Firmicutes_c__Bacilli_o__Bacillales_f__Planococcaceae_g___s__"
"263518","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfovibrionales","f__Desulfovibrionaceae","g__","s__","p__Proteobacteria_c__Deltaproteobacteria_o__Desulfovibrionales_f__Desulfovibrionaceae_g___s__"
"4464026","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Micrococcaceae","g__Micrococcus","s__luteus","p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Micrococcaceae_g__Micrococcus_s__luteus"
"4480861","k__Bacteria","p__Firmicutes","c__Erysipelotrichi","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Catenibacterium","s__","p__Firmicutes_c__Erysipelotrichi_o__Erysipelotrichales_f__Erysipelotrichaceae_g__Catenibacterium_s__"
"2864281","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Veillonellaceae","g__Succiniclasticum","s__","p__Firmicutes_c__Clostridia_o__Clostridiales_f__Veillonellaceae_g__Succiniclasticum_s__"
"3537197","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Anaerostipes","s__","p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Anaerostipes_s__"
"4480244","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Veillonellaceae","g__Dialister","s__","p__Firmicutes_c__Clostridia_o__Clostridiales_f__Veillonellaceae_g__Dialister_s__"
"4429557","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__","s__","p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae_g___s__"
"4417470","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Methylophilales","f__","g__","s__","p__Proteobacteria_c__Betaproteobacteria_o__Methylophilales_f___g___s__"
"832300","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__","g__","s__","p__Proteobacteria_c__Alphaproteobacteria_o__Sphingomonadales_f___g___s__"
"357522","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Micrococcaceae","g__","s__","p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Micrococcaceae_g___s__"
"4338745","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Veillonellaceae","g__","s__","p__Firmicutes_c__Clostridia_o__Clostridiales_f__Veillonellaceae_g___s__"
"4426438","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__","s__","p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g___s__"
"4477696","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Haemophilus","s__parainfluenzae","p__Proteobacteria_c__Gammaproteobacteria_o__Pasteurellales_f__Pasteurellaceae_g__Haemophilus_s__parainfluenzae"
"4381338","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__[Ruminococcus]","s__torques","p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__[Ruminococcus]_s__torques"
"4323733","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Mycobacteriaceae","g__Mycobacterium","s__","p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Mycobacteriaceae_g__Mycobacterium_s__"
"767863","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Enterococcaceae","g__","s__","p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Enterococcaceae_g___s__"
"1136387","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Alloscardovia","s__","p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g__Alloscardovia_s__"
"152527","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__Erwinia","s__oleae","p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae_g__Erwinia_s__oleae"
"4467002","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Erythrobacteraceae","g__","s__","p__Proteobacteria_c__Alphaproteobacteria_o__Sphingomonadales_f__Erythrobacteraceae_g___s__"
"4481427","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Roseburia","s__","p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Roseburia_s__"
"363625","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__ovatus","p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Bacteroidaceae_g__Bacteroides_s__ovatus"
"4477199","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Limnohabitans","s__","p__Proteobacteria_c__Betaproteobacteria_o__Burkholderiales_f__Comamonadaceae_g__Limnohabitans_s__"
"342711","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Alteromonadales","f__HTCC2188","g__","s__","p__Proteobacteria_c__Gammaproteobacteria_o__Alteromonadales_f__HTCC2188_g___s__"
"4428224","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Pasteurella","s__multocida","p__Proteobacteria_c__Gammaproteobacteria_o__Pasteurellales_f__Pasteurellaceae_g__Pasteurella_s__multocida"
"750071","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__[Paraprevotellaceae]","g__","s__","p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__[Paraprevotellaceae]_g___s__"
"994357","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__[Mogibacteriaceae]","g__Mogibacterium","s__","p__Firmicutes_c__Clostridia_o__Clostridiales_f__[Mogibacteriaceae]_g__Mogibacterium_s__"
"297635","k__Bacteria","p__Firmicutes","c__Erysipelotrichi","o__Erysipelotrichales","f__Erysipelotrichaceae","g__[Eubacterium]","s__biforme","p__Firmicutes_c__Erysipelotrichi_o__Erysipelotrichales_f__Erysipelotrichaceae_g__[Eubacterium]_s__biforme"
"539581","k__Bacteria","p__Firmicutes","c__Erysipelotrichi","o__Erysipelotrichales","f__Erysipelotrichaceae","g__[Eubacterium]","s__dolichum","p__Firmicutes_c__Erysipelotrichi_o__Erysipelotrichales_f__Erysipelotrichaceae_g__[Eubacterium]_s__dolichum"
"1064852","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Flavobacterium","s__","p__Bacteroidetes_c__Flavobacteriia_o__Flavobacteriales_f__Flavobacteriaceae_g__Flavobacterium_s__"
"4384166","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__","s__","p__Firmicutes_c__Bacilli_o__Bacillales_f__Bacillaceae_g___s__"
"847228","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Parabacteroides","s__","p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Porphyromonadaceae_g__Parabacteroides_s__"
"1032037","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__","s__","p__Proteobacteria_c__Alphaproteobacteria_o__Rhodospirillales_f__Acetobacteraceae_g___s__"
"4448331","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__","s__","p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae_g___s__"
"1058762","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Microbacteriaceae","g__Pseudoclavibacter","s__bifida","p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Microbacteriaceae_g__Pseudoclavibacter_s__bifida"
"790312","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Pseudoxanthomonas","s__taiwanensis","p__Proteobacteria_c__Gammaproteobacteria_o__Xanthomonadales_f__Xanthomonadaceae_g__Pseudoxanthomonas_s__taiwanensis"
"1108652","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Rhodocyclales","f__Rhodocyclaceae","g__Dechloromonas","s__","p__Proteobacteria_c__Betaproteobacteria_o__Rhodocyclales_f__Rhodocyclaceae_g__Dechloromonas_s__"
"915428","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__","s__","p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Streptococcaceae_g___s__"
"1096610","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__[Tissierellaceae]","g__Finegoldia","s__","p__Firmicutes_c__Clostridia_o__Clostridiales_f__[Tissierellaceae]_g__Finegoldia_s__"
"965381","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__[Mogibacteriaceae]","g__Anaerovorax","s__","p__Firmicutes_c__Clostridia_o__Clostridiales_f__[Mogibacteriaceae]_g__Anaerovorax_s__"
"257909","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Trueperella","s__","p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Actinomycetaceae_g__Trueperella_s__"
"350938","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__Mycoplana","s__","p__Proteobacteria_c__Alphaproteobacteria_o__Caulobacterales_f__Caulobacteraceae_g__Mycoplana_s__"
"4414420","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__eggerthii","p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Bacteroidaceae_g__Bacteroides_s__eggerthii"
"4369901","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__[Paraprevotellaceae]","g__CF231","s__","p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__[Paraprevotellaceae]_g__CF231_s__"
"509989","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__","s__","p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Bacteroidaceae_g___s__"
"4452050","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__Klebsiella","s__","p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae_g__Klebsiella_s__"
"4408740","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__","f__","g__","s__","p__Proteobacteria_c__Betaproteobacteria_o___f___g___s__"
"61102","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","s__citronellolis","p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Pseudomonadaceae_g__Pseudomonas_s__citronellolis"
"3611663","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Rhodocyclales","f__Rhodocyclaceae","g__Uliginosibacterium","s__","p__Proteobacteria_c__Betaproteobacteria_o__Rhodocyclales_f__Rhodocyclaceae_g__Uliginosibacterium_s__"
"1504042","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Oscillospira","s__","p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__Oscillospira_s__"
"4480598","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__[Exiguobacteraceae]","g__","s__","p__Firmicutes_c__Bacilli_o__Bacillales_f__[Exiguobacteraceae]_g___s__"
"4424725","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Oceanospirillales","f__Saccharospirillaceae","g__Reinekea","s__","p__Proteobacteria_c__Gammaproteobacteria_o__Oceanospirillales_f__Saccharospirillaceae_g__Reinekea_s__"
"527988","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Eubacteriaceae","g__Anaerofustis","s__","p__Firmicutes_c__Clostridia_o__Clostridiales_f__Eubacteriaceae_g__Anaerofustis_s__"
"2065573","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Marinilabiaceae","g__","s__","p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Marinilabiaceae_g___s__"
"69664","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__","p__Firmicutes_c__Clostridia_o__Clostridiales_f__Clostridiaceae_g__Clostridium_s__"
"563843","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Oceanospirillales","f__Halomonadaceae","g__Candidatus Portiera","s__","p__Proteobacteria_c__Gammaproteobacteria_o__Oceanospirillales_f__Halomonadaceae_g__Candidatus Portiera_s__"
"3855938","k__Bacteria","p__Firmicutes","c__Erysipelotrichi","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Coprobacillus","s__","p__Firmicutes_c__Erysipelotrichi_o__Erysipelotrichales_f__Erysipelotrichaceae_g__Coprobacillus_s__"
"1105919","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Ralstonia","s__","p__Proteobacteria_c__Betaproteobacteria_o__Burkholderiales_f__Oxalobacteraceae_g__Ralstonia_s__"
"38888","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","s__stutzeri","p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Pseudomonadaceae_g__Pseudomonas_s__stutzeri"
"4466150","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Aggregatibacter","s__segnis","p__Proteobacteria_c__Gammaproteobacteria_o__Pasteurellales_f__Pasteurellaceae_g__Aggregatibacter_s__segnis"
"4465158","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Kaistobacter","s__","p__Proteobacteria_c__Alphaproteobacteria_o__Sphingomonadales_f__Sphingomonadaceae_g__Kaistobacter_s__"
"933546","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Neisseriales","f__Neisseriaceae","g__","s__","p__Proteobacteria_c__Betaproteobacteria_o__Neisseriales_f__Neisseriaceae_g___s__"
"4474736","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Microbacteriaceae","g__Microbacterium","s__","p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Microbacteriaceae_g__Microbacterium_s__"
"1839897","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Geobacillus","s__","p__Firmicutes_c__Bacilli_o__Bacillales_f__Bacillaceae_g__Geobacillus_s__"
"4454970","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__","s__","p__Proteobacteria_c__Betaproteobacteria_o__Burkholderiales_f__Oxalobacteraceae_g___s__"
"4454979","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Limnobacter","s__","p__Proteobacteria_c__Betaproteobacteria_o__Burkholderiales_f__Comamonadaceae_g__Limnobacter_s__"
"1130846","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Microbacteriaceae","g__Agromyces","s__","p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Microbacteriaceae_g__Agromyces_s__"
"1754506","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Cardiobacteriales","f__Cardiobacteriaceae","g__Cardiobacterium","s__","p__Proteobacteria_c__Gammaproteobacteria_o__Cardiobacteriales_f__Cardiobacteriaceae_g__Cardiobacterium_s__"
"3138798","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Veillonellaceae","g__Phascolarctobacterium","s__","p__Firmicutes_c__Clostridia_o__Clostridiales_f__Veillonellaceae_g__Phascolarctobacterium_s__"
"4454507","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Listeriaceae","g__Listeria","s__weihenstephanensis","p__Firmicutes_c__Bacilli_o__Bacillales_f__Listeriaceae_g__Listeria_s__weihenstephanensis"
"268346","k__Bacteria","p__Verrucomicrobia","c__Verruco-5","o__WCHB1-41","f__RFP12","g__","s__","p__Verrucomicrobia_c__Verruco-5_o__WCHB1-41_f__RFP12_g___s__"
"3846643","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Rhodobaca","s__","p__Proteobacteria_c__Alphaproteobacteria_o__Rhodobacterales_f__Rhodobacteraceae_g__Rhodobaca_s__"
"367189","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Burkholderia","s__andropogonis","p__Proteobacteria_c__Betaproteobacteria_o__Burkholderiales_f__Burkholderiaceae_g__Burkholderia_s__andropogonis"
"4042106","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__Sphingobacteriaceae","g__Pedobacter","s__","p__Bacteroidetes_c__Sphingobacteriia_o__Sphingobacteriales_f__Sphingobacteriaceae_g__Pedobacter_s__"
"4446058","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Staphylococcaceae","g__Staphylococcus","s__aureus","p__Firmicutes_c__Bacilli_o__Bacillales_f__Staphylococcaceae_g__Staphylococcus_s__aureus"
"4428119","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__Sphingobacteriaceae","g__Sphingobacterium","s__","p__Bacteroidetes_c__Sphingobacteriia_o__Sphingobacteriales_f__Sphingobacteriaceae_g__Sphingobacterium_s__"
"964220","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Corynebacteriaceae","g__Corynebacterium","s__durum","p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Corynebacteriaceae_g__Corynebacterium_s__durum"
"4339720","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Microbacteriaceae","g__Salinibacterium","s__","p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Microbacteriaceae_g__Salinibacterium_s__"
"3128077","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Veillonellaceae","g__Veillonella","s__","p__Firmicutes_c__Clostridia_o__Clostridiales_f__Veillonellaceae_g__Veillonella_s__"
"4447394","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Propionibacteriaceae","g__Propionibacterium","s__acnes","p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Propionibacteriaceae_g__Propionibacterium_s__acnes"
"1837676","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__mitochondria","g__Vermamoeba","s__vermiformis","p__Proteobacteria_c__Alphaproteobacteria_o__Rickettsiales_f__mitochondria_g__Vermamoeba_s__vermiformis"
"4426982","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Lautropia","s__","p__Proteobacteria_c__Betaproteobacteria_o__Burkholderiales_f__Burkholderiaceae_g__Lautropia_s__"
"712917","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__[Tissierellaceae]","g__Helcococcus","s__","p__Firmicutes_c__Clostridia_o__Clostridiales_f__[Tissierellaceae]_g__Helcococcus_s__"
"1132891","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Propionibacteriaceae","g__Propionibacterium","s__","p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Propionibacteriaceae_g__Propionibacterium_s__"
"287823","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__RF16","g__","s__","p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__RF16_g___s__"
"744941","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Thiohalorhabdales","f__","g__","s__","p__Proteobacteria_c__Gammaproteobacteria_o__Thiohalorhabdales_f___g___s__"
"777944","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Butyrivibrio","s__","p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Butyrivibrio_s__"
"400253","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Microbacteriaceae","g__","s__","p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Microbacteriaceae_g___s__"
"4430952","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Stenotrophomonas","s__","p__Proteobacteria_c__Gammaproteobacteria_o__Xanthomonadales_f__Xanthomonadaceae_g__Stenotrophomonas_s__"
"4454839","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__Enterobacter","s__radicincitans","p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae_g__Enterobacter_s__radicincitans"
"4463767","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Nocardioidaceae","g__","s__","p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Nocardioidaceae_g___s__"
"742320","k__Bacteria","p__Proteobacteria","c__","o__","f__","g__","s__","p__Proteobacteria_c___o___f___g___s__"
"1131759","k__Bacteria","p__Firmicutes","c__Erysipelotrichi","o__Erysipelotrichales","f__Erysipelotrichaceae","g__[Eubacterium]","s__","p__Firmicutes_c__Erysipelotrichi_o__Erysipelotrichales_f__Erysipelotrichaceae_g__[Eubacterium]_s__"
"4377104","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Bradyrhizobiaceae","g__","s__","p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f__Bradyrhizobiaceae_g___s__"
"4386220","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Phyllobacteriaceae","g__","s__","p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f__Phyllobacteriaceae_g___s__"
"4454750","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Alteromonadales","f__OM60","g__","s__","p__Proteobacteria_c__Gammaproteobacteria_o__Alteromonadales_f__OM60_g___s__"
"240857","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Thiotrichales","f__Thiotrichaceae","g__Thiothrix","s__","p__Proteobacteria_c__Gammaproteobacteria_o__Thiotrichales_f__Thiotrichaceae_g__Thiothrix_s__"
"62513","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Moryella","s__indoligenes","p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Moryella_s__indoligenes"
"3364423","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Rhodocyclales","f__Rhodocyclaceae","g__K82","s__","p__Proteobacteria_c__Betaproteobacteria_o__Rhodocyclales_f__Rhodocyclaceae_g__K82_s__"
"791348","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfovibrionales","f__Desulfovibrionaceae","g__Desulfovibrio","s__D168","p__Proteobacteria_c__Deltaproteobacteria_o__Desulfovibrionales_f__Desulfovibrionaceae_g__Desulfovibrio_s__D168"
"177679","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__S24-7","g__","s__","p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__S24-7_g___s__"
"4060501","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Peptococcaceae","g__","s__","p__Firmicutes_c__Clostridia_o__Clostridiales_f__Peptococcaceae_g___s__"
"4304790","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Symbiobacteriaceae","g__Symbiobacterium","s__","p__Firmicutes_c__Clostridia_o__Clostridiales_f__Symbiobacteriaceae_g__Symbiobacterium_s__"
"4439606","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__Morganella","s__","p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae_g__Morganella_s__"
"4435982","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","s__veronii","p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Pseudomonadaceae_g__Pseudomonas_s__veronii"
"749696","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Novosphingobium","s__acidiphilum","p__Proteobacteria_c__Alphaproteobacteria_o__Sphingomonadales_f__Sphingomonadaceae_g__Novosphingobium_s__acidiphilum"
